TYPE,FULLCODE,STATE,COUNTY,TRACT,BLOCK,PLACE,COUSUB,CONCITY,AIANNH,SHEETS
Block,410390003001028,41,39,3,1028,14400,90578,,,1
Block,410390003001051,41,39,3,1051,14400,90578,,,1
Block,410390003001052,41,39,3,1052,14400,90578,,,1
Block,410390003001053,41,39,3,1053,14400,90578,,,1
Block,410390003002004,41,39,3,2004,14400,90578,,,1
Block,410390003002005,41,39,3,2005,14400,90578,,,1
Block,410390003002006,41,39,3,2006,14400,90578,,,1
Block,410390003002007,41,39,3,2007,14400,90578,,,1
Block,410390003002008,41,39,3,2008,14400,90578,,,1
Block,410390003002009,41,39,3,2009,14400,90578,,,1
Block,410390003002011,41,39,3,2011,14400,90578,,,1
Block,410390003002012,41,39,3,2012,14400,90578,,,1
Block,410390003002013,41,39,3,2013,14400,90578,,,1
Block,410390003002014,41,39,3,2014,14400,90578,,,1
Block,410390003002015,41,39,3,2015,14400,90578,,,1
Block,410390003002016,41,39,3,2016,14400,90578,,,1
Block,410390003002017,41,39,3,2017,14400,90578,,,1
Block,410390003002018,41,39,3,2018,14400,90578,,,1
Block,410390003002019,41,39,3,2019,14400,90578,,,1
Block,410390003002020,41,39,3,2020,14400,90578,,,1
Block,410390003002021,41,39,3,2021,14400,90578,,,1
Block,410390003002022,41,39,3,2022,14400,90578,,,1
Block,410390003002023,41,39,3,2023,14400,90578,,,1
Block,410390003002024,41,39,3,2024,14400,90578,,,1
Block,410390003002025,41,39,3,2025,14400,90578,,,1
Block,410390003002026,41,39,3,2026,14400,90578,,,1
Block,410390003002027,41,39,3,2027,14400,90578,,,1
Block,410390003002028,41,39,3,2028,14400,90578,,,1
Block,410390003002029,41,39,3,2029,14400,90578,,,1
Block,410390003002030,41,39,3,2030,14400,90578,,,1
Block,410390003002031,41,39,3,2031,14400,90578,,,1
Block,410390003002032,41,39,3,2032,14400,90578,,,1
Block,410390003002033,41,39,3,2033,14400,90578,,,1
Block,410390003002034,41,39,3,2034,14400,90578,,,1
Block,410390003002035,41,39,3,2035,14400,90578,,,1
Block,410390003002036,41,39,3,2036,14400,90578,,,1
Block,410390003002037,41,39,3,2037,14400,90578,,,1
Block,410390003002041,41,39,3,2041,14400,90578,,,1
