TYPE,FULLCODE,STATE,COUNTY,TRACT,BLOCK,PLACE,COUSUB,CONCITY,AIANNH,SHEETS
Block,410030001011000,41,3,1.01,1000,15800,90680,,,4
Block,410030001011001,41,3,1.01,1001,15800,90680,,,4
Block,410030001011002,41,3,1.01,1002,15800,90680,,,4
Block,410030001011003,41,3,1.01,1003,15800,90680,,,4
Block,410030001011004,41,3,1.01,1004,15800,90680,,,4
Block,410030001011005,41,3,1.01,1005,15800,90680,,,4
Block,410030001011007,41,3,1.01,1007,15800,90680,,,4
Block,410030001011008,41,3,1.01,1008,15800,90680,,,4
Block,410030001011009,41,3,1.01,1009,15800,90680,,,4
Block,410030001011010,41,3,1.01,1010,15800,90680,,,4
Block,410030001012000,41,3,1.01,2000,15800,90680,,,4
Block,410030001012001,41,3,1.01,2001,15800,90680,,,4
Block,410030001012002,41,3,1.01,2002,15800,90680,,,4
Block,410030001012003,41,3,1.01,2003,15800,90680,,,4
Block,410030001012004,41,3,1.01,2004,15800,90680,,,4
Block,410030001012005,41,3,1.01,2005,15800,90680,,,4
Block,410030001012006,41,3,1.01,2006,15800,90680,,,4
Block,410030001012007,41,3,1.01,2007,15800,90680,,,4
Block,410030001012008,41,3,1.01,2008,15800,90680,,,4
Block,410030001012009,41,3,1.01,2009,15800,90680,,,4
Block,410030001012010,41,3,1.01,2010,15800,90680,,,4
Block,410030001012011,41,3,1.01,2011,15800,90680,,,4
Block,410030001012012,41,3,1.01,2012,15800,90680,,,4
Block,410030001012013,41,3,1.01,2013,15800,90680,,,4
Block,410030001012014,41,3,1.01,2014,15800,90680,,,4
Block,410030001012018,41,3,1.01,2018,15800,90680,,,4
Block,410030001013001,41,3,1.01,3001,15800,90680,,,4
Block,410030001013003,41,3,1.01,3003,15800,90680,,,4
Block,410030001013004,41,3,1.01,3004,15800,90680,,,4
Block,410030001013005,41,3,1.01,3005,15800,90680,,,4
Block,410030001013006,41,3,1.01,3006,15800,90680,,,4
Block,410030001013007,41,3,1.01,3007,15800,90680,,,4
Block,410030001013008,41,3,1.01,3008,15800,90680,,,4
Block,410030001013010,41,3,1.01,3010,15800,90680,,,4
Block,410030001013012,41,3,1.01,3012,15800,90680,,,4
Block,410030001013014,41,3,1.01,3014,15800,90680,,,4
Block,410030001013015,41,3,1.01,3015,15800,90680,,,4
Block,410030001013016,41,3,1.01,3016,15800,90680,,,4
Block,410030001021000,41,3,1.02,1000,15800,90680,,,4
Block,410030001021001,41,3,1.02,1001,15800,90680,,,4
Block,410030001021002,41,3,1.02,1002,15800,90680,,,4
Block,410030001021003,41,3,1.02,1003,15800,90680,,,4
Block,410030001021004,41,3,1.02,1004,15800,90680,,,4
Block,410030001021005,41,3,1.02,1005,15800,90680,,,4
Block,410030001021006,41,3,1.02,1006,15800,90680,,,4
Block,410030001022000,41,3,1.02,2000,15800,90680,,,4
Block,410030001022001,41,3,1.02,2001,15800,90680,,,4
Block,410030001022002,41,3,1.02,2002,15800,90680,,,4
Block,410030001022003,41,3,1.02,2003,15800,90680,,,4
Block,410030001022005,41,3,1.02,2005,15800,90680,,,4
Block,410030001022006,41,3,1.02,2006,15800,90680,,,4
Block,410030001022007,41,3,1.02,2007,15800,90680,,,4
Block,410030001022009,41,3,1.02,2009,15800,90680,,,4
Block,410030001022010,41,3,1.02,2010,15800,90680,,,4
Block,410030001022011,41,3,1.02,2011,15800,90680,,,4
Block,410030001022012,41,3,1.02,2012,15800,90680,,,4
Block,410030001022013,41,3,1.02,2013,15800,90680,,,4
Block,410030001022014,41,3,1.02,2014,15800,90680,,,4
Block,410030001022015,41,3,1.02,2015,15800,90680,,,4
Block,410030001022016,41,3,1.02,2016,15800,90680,,,4
Block,410030001022017,41,3,1.02,2017,15800,90680,,,4
Block,410030001022018,41,3,1.02,2018,15800,90680,,,4
Block,410030001022019,41,3,1.02,2019,15800,90680,,,4
Block,410030001022021,41,3,1.02,2021,15800,90680,,,4
Block,410030001022025,41,3,1.02,2025,15800,90680,,,4
Block,410030001022026,41,3,1.02,2026,15800,90680,,,4
Block,410030001022031,41,3,1.02,2031,15800,90680,,,4
Block,410030001022032,41,3,1.02,2032,15800,90680,,,4
Block,410030001022033,41,3,1.02,2033,15800,90680,,,4
Block,410030002021000,41,3,2.02,1000,15800,90680,,,4
Block,410030002021002,41,3,2.02,1002,15800,90680,,,"3,4"
Block,410030002021003,41,3,2.02,1003,15800,90680,,,3
Block,410030002021004,41,3,2.02,1004,15800,90680,,,"3,4"
Block,410030002021006,41,3,2.02,1006,15800,90680,,,3
Block,410030002021008,41,3,2.02,1008,15800,90680,,,3
Block,410030002021009,41,3,2.02,1009,15800,90680,,,3
Block,410030002021010,41,3,2.02,1010,15800,90680,,,4
Block,410030002021011,41,3,2.02,1011,15800,90680,,,3
Block,410030002021012,41,3,2.02,1012,15800,90680,,,"3,4"
Block,410030002021013,41,3,2.02,1013,15800,90680,,,"3,4"
Block,410030002021016,41,3,2.02,1016,15800,90680,,,3
Block,410030002021018,41,3,2.02,1018,15800,90680,,,3
Block,410030002021021,41,3,2.02,1021,15800,90680,,,3
Block,410030002021022,41,3,2.02,1022,15800,90680,,,3
Block,410030002021023,41,3,2.02,1023,15800,90680,,,3
Block,410030002021024,41,3,2.02,1024,15800,90680,,,3
Block,410030002021025,41,3,2.02,1025,15800,90680,,,3
Block,410030002021026,41,3,2.02,1026,15800,90680,,,3
Block,410030002021027,41,3,2.02,1027,15800,90680,,,3
Block,410030002021028,41,3,2.02,1028,15800,90680,,,3
Block,410030002022000,41,3,2.02,2000,15800,90680,,,3
Block,410030002022001,41,3,2.02,2001,15800,90680,,,3
Block,410030002022002,41,3,2.02,2002,15800,90680,,,3
Block,410030002022003,41,3,2.02,2003,15800,90680,,,3
Block,410030002022004,41,3,2.02,2004,15800,90680,,,3
Block,410030002022005,41,3,2.02,2005,15800,90680,,,3
Block,410030002022006,41,3,2.02,2006,15800,90680,,,3
Block,410030002022007,41,3,2.02,2007,15800,90680,,,3
Block,410030002022008,41,3,2.02,2008,15800,90680,,,3
Block,410030002022009,41,3,2.02,2009,15800,90680,,,3
Block,410030002022010,41,3,2.02,2010,15800,90680,,,3
Block,410030002022011,41,3,2.02,2011,15800,90680,,,3
Block,410030002022012,41,3,2.02,2012,15800,90680,,,3
Block,410030002022013,41,3,2.02,2013,15800,90680,,,3
Block,410030002023000,41,3,2.02,3000,15800,90680,,,3
Block,410030002023001,41,3,2.02,3001,15800,90680,,,3
Block,410030002023002,41,3,2.02,3002,15800,90680,,,3
