OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,SPRING_WHEAT,WINTER_WHEAT,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,MISC_VEGS___FRUITS,ONIONS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,WALNUTS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,GARLIC,BROCCOLI,PEPPERS,SQUASH,BLUEBERRIES,CAULIFLOWER,RADISHES
1,DW-1,900,0,0,0,6300,0,0,7200,0,0,0,0,0,0,0,0,25200,4500,0,0,0,90000,0,0,226800,454500,296100,26100,1800,0,11700,10800,1800,307800,45900,3600,900,0,0,0,0,0,0
2,GW-9,0,0,0,0,9900,0,0,2700,0,0,0,0,0,0,0,0,1368000,900,0,0,0,0,0,0,39600,23400,0,0,0,0,0,0,0,83700,0,0,0,0,0,0,0,0,0
3,DW-10,0,0,0,0,2700,0,0,0,0,0,0,0,0,0,0,10800,942300,0,0,0,0,0,0,0,89100,124200,24300,5400,0,0,0,0,0,342900,0,0,0,0,0,0,0,0,0
4,DW-11,0,0,0,0,80100,0,0,1800,0,0,0,0,0,0,0,900,635400,4500,0,0,0,5400,0,0,73800,122400,4500,7200,0,0,0,4500,0,577800,10800,0,0,0,0,0,0,0,0
5,DW-12a,1800,0,0,0,40500,0,0,0,0,0,0,0,0,1800,0,0,848700,7200,0,0,0,0,0,5400,50400,141300,5400,0,2700,0,1800,0,0,414900,7200,1800,0,0,0,0,0,0,0
6,DW-13,0,0,0,0,26100,2700,0,3600,0,0,0,0,0,0,0,9000,278100,900,0,0,6300,508500,0,0,27000,81000,13500,12600,0,0,2700,900,0,533700,31500,0,0,0,900,0,1800,0,1800
7,DW-15,0,24300,1800,0,2700,0,3600,0,0,240300,1800,0,900,0,900,1800,180000,0,0,0,900,143100,0,169200,54900,38700,0,0,2700,0,41400,21600,9000,416700,169200,14400,0,0,0,0,0,0,4500
8,DW-1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123200,0,0,0,0,0,0,0,10800,45000,1800,0,0,0,0,0,0,351000,0,0,0,0,0,0,0,0,0
9,DW-1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098000,0,0,0,0,0,0,0,8100,44100,1800,0,0,0,0,0,0,376200,0,0,0,0,0,0,0,0,0
10,DW-1544,9900,19800,3600,0,900,1800,0,1800,0,178200,0,0,0,1800,0,0,746100,39600,0,0,0,6300,0,0,9900,44100,0,0,0,0,0,0,0,460800,0,0,0,0,0,3600,0,0,0
11,DW-16,2700,0,0,70200,286200,900,0,1800,0,86400,10800,0,0,0,0,0,312300,5400,4500,900,1800,9900,0,10800,24300,105300,41400,3600,0,0,9000,9000,1800,433800,104400,7200,0,0,0,0,5400,0,0
12,DW-17,0,0,0,0,568800,0,0,0,0,4500,0,0,0,0,0,0,773100,0,900,0,0,1800,0,0,3600,38700,3600,0,0,0,0,0,0,135000,0,0,0,0,0,0,0,0,0
13,DW-2,22500,273600,0,0,3600,0,0,0,2700,0,900,0,0,0,0,0,126000,9900,0,0,4500,86400,0,6300,2700,61200,20700,0,0,1800,26100,21600,3600,774000,71100,0,4500,0,0,1800,0,0,0
14,DW-3,0,0,0,10800,69300,18900,0,0,58500,0,10800,0,0,0,0,1800,540000,4500,0,0,0,1800,2700,35100,41400,138600,18900,0,1800,0,0,3600,0,535500,8100,900,14400,0,0,0,0,0,10800
15,DW-5,94500,0,0,3600,228600,0,0,0,0,0,0,0,0,0,0,0,149400,900,0,0,0,0,0,0,265500,579600,83700,900,0,0,0,0,0,117900,0,0,0,0,0,0,0,0,0
16,DW-6,6300,5400,1800,0,0,0,0,7200,0,56700,0,0,0,0,0,0,1017000,19800,0,0,0,3600,0,0,10800,49500,0,0,0,0,0,0,0,350100,0,0,0,0,0,1800,0,0,0
17,DW-7,0,0,0,27000,505800,17100,0,8100,0,0,0,0,0,0,0,1800,172800,0,0,0,900,6300,0,102600,27000,17100,0,0,40500,900,41400,23400,1800,352800,178200,3600,0,0,0,0,0,0,0
18,DW-7a,0,0,0,26100,516600,17100,0,9900,0,0,0,0,0,0,0,1800,190800,0,0,0,0,5400,0,98100,29700,18000,0,0,40500,900,38700,22500,1800,348300,160200,2700,0,0,0,0,0,0,0
19,DW-8,0,0,0,3600,315000,0,0,0,0,0,0,0,0,0,0,1800,901800,0,0,0,1800,0,0,0,29700,34200,0,0,0,0,0,0,0,244800,0,0,0,0,0,0,0,0,0
