OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,BARLEY,SPRING_WHEAT,WINTER_WHEAT,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,POTATOES,OTHER_CROPS,ONIONS,PEAS,CANEBERRIES,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,PEACHES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,BROCCOLI,PLUMS,SQUASH,VETCH,BLUEBERRIES,RADISHES,TURNIPS,CRANBERRIES
1,DW-1,18000,1800,0,0,0,2700,1800,0,0,0,0,0,0,0,0,0,0,1800,0,21600,2700,0,0,0,4500,70200,0,210600,462600,279900,27900,0,0,6300,0,0,324900,82800,1800,0,0,0,0,0,0,0,0,0,0
2,GW-9,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,900,1190700,0,0,0,0,0,0,0,7200,10800,0,0,0,0,0,0,0,317700,0,0,0,0,0,0,0,0,0,0,0,0
3,DW-10,0,0,0,0,0,2700,0,0,10800,0,0,0,0,0,0,0,0,0,90000,668700,0,0,0,0,0,0,0,94500,108900,23400,9000,0,0,0,0,0,521100,0,0,0,0,0,0,0,0,0,12600,0,0
4,DW-11,0,0,0,0,119700,54000,23400,0,12600,0,0,0,0,0,0,0,0,0,0,600300,900,0,0,0,0,0,0,63000,111600,3600,6300,0,0,2700,0,0,520200,10800,0,0,0,0,0,0,0,0,0,0,0
5,DW-12a,0,0,0,0,0,6300,0,0,9000,0,0,0,0,0,0,0,0,0,16200,999000,0,0,0,0,0,2700,900,48600,129600,8100,0,0,0,0,0,0,292500,9000,9000,0,0,0,0,0,0,0,0,0,0
6,DW-13,5400,11700,0,0,0,15300,0,9900,4500,0,0,0,8100,0,0,0,3600,0,1800,156600,1800,0,0,0,9000,503100,2700,22500,72900,14400,9900,0,0,10800,1800,13500,477900,16200,0,0,0,0,0,144000,0,6300,900,0,18000
7,DW-15,6300,6300,0,0,1800,4500,0,0,0,0,73800,0,45900,0,0,0,0,0,3600,516600,0,0,0,1800,900,120600,179100,39600,40500,0,0,1800,4500,108900,32400,9900,247500,92700,4500,0,0,0,0,0,0,900,0,0,0
8,DW-1524,0,0,0,0,0,44100,0,0,0,0,0,0,0,0,0,0,0,0,0,639900,0,0,0,0,0,0,0,10800,23400,0,0,0,0,0,0,0,813600,0,0,0,0,0,0,0,0,0,0,0,0
9,DW-1525,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,618300,0,0,0,0,0,0,0,13500,20700,0,0,0,0,0,0,0,874800,0,0,0,0,0,0,0,0,0,0,0,0
10,DW-1544,900,0,26100,0,0,0,0,0,12600,0,0,0,0,0,0,0,0,262800,0,807300,0,0,0,0,900,5400,0,3600,36000,0,0,3600,0,0,0,0,364500,0,900,0,0,0,0,2700,900,0,0,0,0
