OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,SPRING_WHEAT,WINTER_WHEAT,OATS,CANOLA,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,MISC_VEGS___FRUITS,PEAS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,FOREST,CHERRIES,CHRISTMAS_TREES,OTHER_TREE_CROPS,WALNUTS,WETLANDS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,BROCCOLI,PEPPERS,GREENS,PLUMS,STRAWBERRIES,SQUASH,VETCH,PUMPKINS,BLUEBERRIES,CABBAGE,CAULIFLOWER,RADISHES,TURNIPS,CRANBERRIES
1,DW-1,5400,6300,10800,0,3600,0,0,0,4500,0,0,1800,0,0,0,0,9900,10800,0,0,5400,9900,20700,0,0,0,169200,419400,180900,10800,0,5400,13500,3600,0,531900,98100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,GW-9,0,0,0,0,182700,0,0,0,37800,0,0,0,0,0,0,0,105300,828900,3600,0,0,0,0,0,0,0,21600,26100,0,0,0,0,0,0,0,322200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,DW-10,0,0,0,19800,18000,7200,0,0,2700,0,0,6300,0,5400,0,0,423000,440100,0,0,0,0,0,0,0,0,101700,153000,27900,0,0,0,0,0,0,336600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DW-11,7200,0,0,4500,61200,900,0,3600,4500,0,0,0,0,0,0,900,1800,291600,52200,1800,900,0,5400,0,0,0,71100,121500,2700,6300,0,2700,0,0,0,868500,15300,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,1800,900
5,DW-12a,0,0,0,900,248400,900,0,0,1800,0,0,0,0,0,0,0,35100,496800,4500,0,0,0,1800,0,0,9000,51300,138600,8100,0,0,0,0,0,0,520200,9000,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900
6,DW-13,3600,0,5400,19800,13500,7200,0,2700,10800,1800,5400,34200,0,1800,0,0,55800,238500,10800,1800,1800,0,138600,0,0,0,23400,85500,9900,13500,0,0,1800,1800,0,823500,29700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,DW-15,7200,0,0,4500,88200,2700,0,3600,2700,0,0,9000,6300,0,5400,0,8100,470700,2700,5400,0,0,103500,0,0,171000,49500,37800,0,0,1800,2700,28800,1800,6300,307800,205200,11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,DW-1524,0,0,0,0,90900,0,0,0,0,0,0,0,0,0,0,0,0,832500,0,0,0,0,0,0,0,0,9000,38700,900,0,0,0,0,0,0,559800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,DW-1525,0,0,0,0,40500,0,0,0,0,0,0,0,0,0,0,0,0,788400,0,0,0,0,0,0,0,0,9000,33300,900,0,0,0,0,0,0,656100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,DW-1544,0,0,45000,0,5400,0,0,0,0,0,0,0,0,0,0,304200,5400,730800,10800,900,0,0,0,0,0,0,9900,44100,0,0,0,0,0,0,0,370800,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0
11,DW-16,7200,900,7200,10800,108000,0,0,0,1800,35100,8100,23400,0,0,2700,0,9000,558900,14400,4500,0,1800,25200,2700,0,10800,20700,106200,36000,2700,0,0,2700,900,0,388800,130500,22500,0,1800,0,0,0,0,4500,0,0,0,0,0,0,0,0
12,DW-17,0,0,68400,0,117000,0,0,900,900,0,9900,1800,0,0,0,1800,7200,1121400,19800,0,0,0,0,0,0,0,3600,48600,900,0,0,0,0,0,0,126000,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,DW-2,16200,18900,900,9900,354600,1800,0,1800,0,1800,4500,12600,0,0,0,0,4500,32400,13500,0,0,900,38700,0,0,7200,1800,57600,21600,0,3600,0,22500,6300,0,795600,86400,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600
