OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,BARLEY,SPRING_WHEAT,WINTER_WHEAT,OATS,FLAXSEED,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,PEAS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,APPLES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,GARLIC,PRUNES,PLUMS,SQUASH,VETCH,PUMPKINS,BLUEBERRIES,CABBAGE,CAULIFLOWER,RADISHES,CRANBERRIES
1,DW-1,9000,0,0,0,0,9900,5400,0,0,5400,0,0,0,0,0,51300,0,59400,1800,0,0,0,0,29700,0,225000,486900,246600,29700,0,0,2700,8100,0,285300,63900,1800,0,0,0,0,0,0,0,0,0,0,0
2,GW-9,0,0,0,0,0,0,0,0,0,59400,0,0,0,0,0,8100,0,1107000,2700,0,0,0,0,0,0,32400,23400,0,0,0,0,0,0,0,295200,0,0,0,0,0,0,0,0,0,0,0,0,0
3,DW-10,0,0,0,0,0,900,0,0,0,0,0,0,152100,0,0,0,0,621900,7200,0,0,0,0,0,0,108900,144000,27900,0,0,0,0,0,0,478800,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DW-11,9900,3600,0,0,0,79200,0,0,0,18900,0,0,0,0,0,3600,0,549900,134100,0,0,0,0,3600,0,68400,127800,900,6300,1800,0,0,0,0,508500,10800,0,0,0,0,1800,0,0,0,0,0,0,0
5,DW-12a,8100,35100,0,0,7200,401400,0,0,0,12600,0,0,0,0,0,24300,0,55800,161100,0,0,0,0,0,11700,49500,146700,6300,0,3600,0,0,0,1800,567000,9000,8100,0,2700,0,18900,0,0,0,0,0,0,0
6,DW-13,55800,43200,7200,0,4500,9000,2700,0,1800,15300,0,0,63000,0,1800,7200,55800,255600,117000,6300,900,0,15300,14400,0,27900,74700,11700,11700,0,0,0,4500,5400,621000,30600,3600,0,0,40500,0,0,0,18000,0,0,0,16200
7,DW-15,17100,2700,0,0,900,4500,2700,0,0,18900,0,1800,10800,1800,0,0,1800,490500,65700,3600,0,0,1800,110700,174600,48600,36900,0,0,0,1800,8100,9000,4500,267300,224100,4500,0,0,14400,0,0,0,5400,0,0,0,9900
8,DW-1524,0,0,0,0,0,0,0,0,0,5400,0,0,0,0,0,0,0,794700,0,0,0,0,0,0,0,13500,32400,1800,0,0,0,0,0,0,684000,0,0,0,0,0,0,0,0,0,0,0,0,0
9,DW-1525,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,870300,0,0,0,0,0,0,0,10800,29700,1800,0,0,0,0,0,0,612000,0,0,0,0,0,0,0,0,0,0,0,0,0
10,DW-1544,0,0,21600,0,0,0,0,0,0,50400,0,0,0,0,0,320400,0,771300,2700,0,0,0,0,4500,0,9900,39600,0,0,8100,0,0,0,7200,288900,0,0,0,0,0,0,0,0,0,3600,0,0,0
