OBJECTID,LOCATION,CORN,SORGHUM,SWEET_CORN,MINT,SPRING_WHEAT,WINTER_WHEAT,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,POTATOES,OTHER_CROPS,PEAS,CANEBERRIES,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,PEACHES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,SQUASH,VETCH,PUMPKINS,BLUEBERRIES,RADISHES
1,DW-1,0,0,0,13500,0,2700,0,0,5400,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,43200,0,235800,477000,261900,27900,0,0,9000,2700,6300,349200,79200,5400,0,0,0,0,0,0,0
2,GW-9,0,0,0,0,0,73800,0,0,1800,0,0,0,0,0,0,0,0,0,1224900,1800,0,0,0,0,0,15300,23400,0,0,0,0,0,0,0,182700,0,0,4500,0,0,0,0,0,0
3,DW-10,0,0,0,0,0,0,0,0,900,0,0,0,1800,0,0,0,0,0,295200,28800,0,0,1800,18000,0,111600,135000,22500,5400,0,0,0,0,0,920700,0,0,0,0,0,0,0,0,0
4,DW-11,0,0,0,0,0,310500,0,0,0,0,1800,0,0,0,0,0,2700,0,377100,3600,0,0,0,1800,0,72900,120600,5400,6300,0,0,0,0,0,608400,16200,1800,0,0,0,0,0,0,0
5,DW-12a,0,0,0,148500,0,217800,0,0,3600,0,0,0,1800,0,0,0,3600,1800,621000,900,0,0,0,9000,4500,52200,141300,7200,0,0,0,0,0,0,308700,9000,0,0,0,0,0,0,0,0
6,DW-13,0,0,0,0,900,18000,0,0,8100,0,0,0,53100,0,12600,0,0,4500,193500,0,4500,0,1800,39600,0,24300,85500,10800,11700,0,0,0,1800,3600,1029600,33300,3600,0,0,0,1800,0,0,0
7,DW-15,0,0,0,0,0,900,0,0,0,0,0,0,37800,0,9000,0,1800,900,548100,0,2700,0,0,112500,172800,46800,38700,0,0,0,0,26100,6300,8100,317700,207900,6300,0,0,0,0,0,0,0
8,DW-1524,0,0,0,0,0,14400,0,0,1800,0,0,0,0,0,0,0,0,0,933300,0,0,0,0,0,0,9900,36900,0,0,0,0,0,0,0,535500,0,0,0,0,0,0,0,0,0
9,DW-1525,0,0,0,0,0,1800,0,0,8100,0,0,0,0,0,0,0,0,0,899100,1800,0,0,0,900,0,12600,35100,0,0,0,0,0,0,0,568800,0,0,0,0,0,0,0,0,0
10,DW-1544,0,0,3600,63000,0,287100,0,0,30600,2700,99900,0,0,0,0,0,36900,4500,523800,31500,0,0,0,16200,1800,6300,44100,0,0,0,0,0,0,0,370800,0,0,0,0,0,0,0,0,5400
11,DW-16,4500,0,32400,0,0,283500,0,0,2700,0,0,0,13500,0,6300,0,2700,2700,251100,2700,1800,0,0,15300,15300,22500,102600,49500,3600,0,0,0,0,0,603900,129600,900,0,0,900,0,0,1800,0
12,DW-17,0,0,20700,9000,0,720900,0,0,0,0,6300,0,20700,0,900,0,10800,0,560700,0,0,0,0,4500,0,9000,37800,900,0,0,0,0,0,1800,81000,0,0,0,0,40500,0,4500,0,0
13,DW-2,900,0,278100,0,0,900,0,0,5400,0,0,0,4500,0,0,0,900,0,112500,16200,0,0,2700,114300,18900,5400,56700,10800,0,7200,0,12600,5400,0,756000,107100,9000,0,0,0,0,0,0,0
14,DW-3,0,0,0,0,176400,349200,0,0,4500,0,0,0,11700,5400,0,0,6300,0,310500,13500,0,0,0,27000,25200,37800,126000,22500,0,10800,0,0,0,0,383400,14400,3600,0,0,0,0,0,0,0
15,DW-5,0,0,0,0,0,252000,0,0,0,0,0,0,0,0,0,0,0,0,38700,16200,0,0,0,9000,0,296100,609300,79200,900,0,36000,0,0,0,187200,0,0,0,0,0,0,0,0,0
16,DW-6,0,0,0,20700,0,378000,0,0,28800,2700,45000,0,0,0,0,0,9900,1800,573300,37800,0,0,0,17100,1800,7200,48600,0,0,0,0,0,0,0,357300,0,0,0,0,0,0,0,0,0
17,DW-7,0,0,0,0,0,23400,0,9000,1800,0,0,0,2700,0,0,0,3600,900,651600,6300,0,0,0,9900,83700,22500,12600,0,0,15300,3600,32400,13500,7200,405900,202500,20700,0,0,0,0,0,0,0
18,DW-7a,0,0,0,0,0,24300,0,10800,1800,0,0,0,2700,0,0,0,3600,900,677700,6300,0,0,0,9900,80100,25200,13500,0,0,15300,3600,29700,9900,5400,404100,186300,18000,0,0,0,0,0,0,0
19,DW-8,0,0,0,0,0,226800,0,0,0,0,0,0,0,0,1800,0,0,0,791100,0,0,0,0,5400,0,9900,34200,0,0,0,0,0,0,0,428400,0,0,0,0,0,0,0,0,35100
20,DW-9,0,0,0,0,0,107100,0,0,0,0,0,0,0,0,0,0,0,0,426600,0,0,0,0,0,0,17100,96300,0,0,0,2700,0,0,0,437400,451800,900,0,0,0,0,0,0,0
21,GW-1,0,0,0,0,0,93600,0,0,5400,0,900,0,0,0,0,0,0,0,806400,2700,2700,0,0,13500,0,59400,148500,5400,0,0,0,0,0,0,370800,9900,2700,0,0,0,0,0,0,0
22,GW-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287900,0,0,0,0,0,0,7200,27900,0,0,0,0,0,0,0,207000,0,0,0,0,0,0,0,0,0
23,GW-11,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,517500,45900,0,0,0,0,0,0,104400,9000,0,0,0,0,0,0,857700,0,0,0,0,0,0,0,0,0
24,GW-12,71100,1800,9900,0,0,3600,0,0,13500,0,0,0,1800,0,900,0,0,0,216900,2700,0,0,2700,0,900,67500,43200,19800,2700,0,0,0,0,0,1073700,0,5400,0,0,0,0,0,0,0
25,GW-13,0,0,0,0,0,130500,0,0,0,0,0,0,8100,1800,3600,0,0,0,430200,3600,0,0,0,1800,2700,28800,109800,8100,0,0,1800,2700,0,0,711000,84600,7200,0,0,0,0,0,0,0
26,GW-15,0,0,0,0,0,63900,900,0,900,0,0,0,0,0,0,0,0,3600,562500,0,0,0,0,0,0,20700,91800,7200,0,0,0,2700,0,0,485100,195300,0,0,0,0,0,0,0,110700
