OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,BARLEY,WINTER_WHEAT,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,PEAS,CANEBERRIES,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,GARLIC,GREENS,PLUMS,SQUASH,VETCH,BLUEBERRIES,RADISHES
1,DW-1,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,5400,0,0,0,82800,0,207900,443700,319500,33300,6300,0,4500,0,6300,315000,61200,34200,0,0,0,0,0,0,0
2,GW-9,0,0,0,1800,3600,0,0,0,0,0,0,0,0,0,0,3600,711000,0,0,0,0,0,21600,23400,0,0,0,0,0,0,0,763200,0,0,0,0,0,0,0,0,0
3,DW-10,0,0,0,0,5400,0,0,0,0,0,0,0,0,0,0,0,230400,0,0,0,0,0,89100,142200,29700,1800,0,0,0,0,0,1043100,0,0,0,0,0,0,0,0,0
4,DW-11,43200,0,0,0,1800,0,0,23400,0,0,2700,0,0,0,0,2700,780300,1800,0,0,5400,0,69300,118800,6300,13500,900,0,0,0,2700,425700,16200,14400,0,0,0,0,0,0,0
5,DW-12a,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,141300,15300,847800,3600,0,0,4500,0,51300,142200,7200,0,0,0,0,0,0,291600,16200,5400,0,900,0,0,0,0,0
6,DW-13,0,0,1800,0,0,0,0,4500,0,0,2700,0,13500,0,6300,11700,161100,0,0,0,178200,0,14400,80100,22500,13500,0,0,0,0,5400,970200,36000,0,0,0,0,0,20700,0,0
7,DW-15,0,900,0,0,48600,0,0,0,0,0,0,0,3600,0,0,1800,430200,0,0,0,118800,212400,50400,37800,0,0,0,0,21600,6300,10800,412200,179100,9000,0,0,0,0,0,900,0
8,DW-1524,1800,0,0,0,260100,0,0,0,0,0,0,0,0,0,0,9000,244800,15300,0,0,0,0,10800,39600,2700,0,0,0,0,0,0,947700,0,0,0,0,0,0,0,0,0
9,DW-1525,1800,0,0,0,254700,0,0,0,0,0,0,0,0,0,0,9000,244800,0,0,0,0,0,10800,36900,1800,0,0,0,0,0,0,968400,0,0,0,0,0,0,0,0,0
10,DW-1544,0,0,0,0,200700,0,0,5400,65700,0,3600,0,0,0,0,139500,557100,22500,0,0,25200,0,9900,42300,0,0,0,0,0,0,0,386100,0,0,0,0,0,0,0,0,70200
