OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,SPRING_WHEAT,WINTER_WHEAT,OATS,CANOLA,FLAXSEED,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,POTATOES,OTHER_CROPS,LENTILS,PEAS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,BROCCOLI,GREENS,STRAWBERRIES,SQUASH,VETCH,DBL_CROP_WINWHT_CORN,BLUEBERRIES,RADISHES,TURNIPS
1,DW-1,0,0,3600,0,0,0,0,0,0,11700,0,0,0,0,0,0,0,9900,0,3600,0,1800,0,0,53100,3600,243000,459000,276300,29700,7200,0,19800,2700,11700,326700,58500,0,0,0,0,0,0,0,0,0,0,0,0
2,GW-9,0,0,0,0,130500,1800,0,0,0,4500,0,0,0,900,0,0,0,0,4500,1140300,0,0,0,0,0,0,14400,23400,0,0,0,0,0,0,0,207900,0,0,0,0,0,0,0,0,0,0,0,0,0
3,DW-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25200,0,0,0,539100,0,0,0,0,900,2700,111600,140400,29700,0,0,0,0,0,0,692100,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DW-11,0,0,0,0,3600,0,0,0,0,22500,0,0,0,5400,0,0,0,4500,7200,795600,2700,0,0,900,6300,0,76500,123300,1800,6300,0,0,5400,0,9000,449100,8100,900,0,0,0,0,0,0,0,0,0,0,0
5,DW-12a,0,0,119700,0,900,0,0,0,0,3600,0,1800,0,0,0,0,0,35100,18000,857700,0,0,0,0,0,3600,51300,143100,5400,0,0,0,1800,0,22500,254700,9900,1800,0,0,0,0,0,0,0,0,0,0,0
6,DW-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,1800,5400,261900,0,0,0,900,111600,0,22500,80100,11700,13500,0,0,2700,9000,28800,955800,23400,7200,0,0,0,0,2700,0,0,0,1800,0,0
7,DW-15,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296100,0,2700,2700,262800,0,0,0,0,116100,171000,43200,42300,0,0,0,5400,72900,48600,45000,288900,113400,6300,0,0,0,0,0,0,0,0,0,24300,0
8,DW-1524,0,0,0,0,159300,0,0,0,0,0,0,0,0,4500,0,900,0,0,0,785700,0,0,0,0,8100,0,11700,39600,1800,0,0,0,0,0,0,443700,0,0,71100,0,0,0,0,0,0,0,0,0,5400
9,DW-1525,0,0,0,0,165600,0,0,0,0,0,0,0,0,4500,0,900,0,0,0,806400,0,0,0,0,8100,0,11700,36000,1800,0,0,0,0,0,0,416700,0,0,71100,0,0,0,0,0,0,0,0,0,5400
10,DW-1544,139500,97200,4500,0,18900,7200,0,0,0,5400,0,1800,0,36900,0,216000,0,11700,275400,238500,8100,0,0,0,10800,0,9900,44100,0,0,0,0,0,0,7200,329400,0,0,0,3600,0,37800,0,13500,0,0,2700,8100,0
11,DW-16,0,900,14400,0,274500,900,0,0,0,3600,1800,0,0,0,0,0,0,3600,0,215100,8100,0,0,2700,1800,13500,22500,108000,38700,2700,0,0,24300,7200,24300,340200,100800,9900,0,0,0,0,0,326700,0,0,1800,1800,0
12,DW-17,0,2700,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,3600,1025100,0,0,0,3600,12600,0,3600,45900,1800,0,0,0,0,0,0,43200,0,900,0,0,0,0,0,385200,0,0,0,0,0
13,DW-2,1800,24300,0,2700,12600,0,0,1800,0,5400,2700,2700,0,13500,0,6300,1800,5400,5400,328500,16200,0,0,6300,91800,60300,1800,51300,27900,0,7200,1800,38700,17100,12600,675900,58500,2700,1800,0,1800,0,0,30600,0,0,0,6300,0
14,DW-3,0,24300,0,2700,268200,1800,0,0,0,3600,2700,1800,0,2700,0,60300,0,3600,68400,294300,8100,0,0,900,243000,32400,28800,137700,22500,0,4500,0,1800,1800,10800,279000,9900,3600,0,1800,1800,0,0,0,0,0,0,5400,0
15,DW-5,1800,0,0,13500,3600,0,0,0,0,0,0,0,0,900,0,26100,900,0,0,273600,3600,0,0,0,12600,1800,322200,605700,81900,900,1800,0,0,0,0,173700,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DW-6,275400,106200,6300,0,116100,1800,0,0,0,4500,0,3600,0,12600,0,98100,0,8100,236700,243000,7200,0,0,0,15300,0,10800,48600,0,0,0,0,0,0,5400,320400,0,2700,0,0,0,0,0,1800,0,0,5400,0,0
