OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,SPRING_WHEAT,WINTER_WHEAT,RYE,OATS,CANOLA,MUSTARD,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,MISC_VEGS___FRUITS,PEAS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,SQUASH,VETCH,DBL_CROP_WINWHT_CORN,BLUEBERRIES,CABBAGE,RADISHES
1,DW-1,0,4500,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,5400,0,0,4500,54900,0,231300,475200,261000,33300,900,4500,16200,11700,2700,351000,53100,1800,0,0,0,0,9000,0,0
2,GW-9,0,0,0,0,99900,0,0,0,0,6300,0,0,0,0,0,0,0,0,1196100,0,0,0,0,0,14400,23400,0,0,0,0,0,0,0,188100,0,0,0,0,0,0,0,0,0
3,DW-10,5400,0,0,0,32400,0,0,0,0,1800,0,4500,0,0,0,0,0,0,426600,0,0,0,0,0,105300,143100,29700,0,0,0,0,0,0,792900,0,0,0,0,0,0,0,0,0
4,DW-11,0,0,0,0,318600,0,0,0,0,0,0,0,22500,0,0,0,0,0,470700,900,0,900,2700,0,73800,123300,4500,6300,900,0,5400,0,2700,485100,10800,0,0,0,0,0,0,0,0
5,DW-12a,0,0,153000,3600,234900,0,0,0,0,0,0,0,0,0,0,0,5400,7200,630900,0,0,0,0,8100,49500,143100,5400,0,1800,0,1800,0,4500,268200,7200,6300,0,0,0,0,0,0,0
6,DW-13,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,6300,256500,11700,0,0,112500,0,26100,76500,15300,9900,1800,0,8100,5400,20700,946800,25200,15300,0,0,0,0,0,0,0
7,DW-15,0,0,0,0,131400,0,0,0,0,0,0,0,0,0,0,0,0,0,450900,0,0,0,127800,179100,46800,38700,0,0,0,0,66600,19800,33300,289800,155700,4500,0,0,0,0,0,0,0
8,DW-1524,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,110700,935100,115200,0,0,1800,0,11700,39600,1800,0,0,0,0,0,0,313200,0,0,0,0,0,0,0,0,0
9,DW-1525,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,117900,924300,113400,0,0,1800,0,11700,36000,1800,0,0,0,0,0,0,318600,0,0,0,0,0,0,0,0,0
10,DW-1544,0,1800,0,0,4500,0,0,0,0,9000,18900,330300,0,0,3600,0,6300,247500,330300,1800,0,1800,18000,0,9900,44100,0,0,0,0,0,0,9900,326700,0,0,0,163800,0,0,0,0,0
11,DW-16,0,0,0,0,291600,0,0,3600,0,3600,7200,211500,23400,0,1800,0,900,4500,249300,13500,0,2700,45900,18900,22500,106200,42300,2700,15300,0,5400,8100,10800,318600,112500,18000,0,3600,0,3600,0,1800,0
