OBJECTID,LOCATION,CORN,MINT,BARLEY,WINTER_WHEAT,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,BUCKWHEAT,SUGARBEETS,DRY_BEANS,OTHER_CROPS,ONIONS,PEAS,CANEBERRIES,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,BROCCOLI,GREENS,SQUASH,PUMPKINS,BLUEBERRIES,RADISHES,TURNIPS
1,DW-1,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,13500,7200,0,0,0,0,54900,0,228600,468000,264600,41400,13500,0,3600,3600,14400,333900,71100,1800,0,0,0,0,0,0,0,0,0
2,GW-9,0,0,0,0,0,0,19800,0,0,0,3600,0,0,0,0,0,1800,1206900,0,0,0,0,0,0,9900,27900,0,0,0,0,0,0,0,186300,0,0,0,0,0,0,0,0,0,0,72000
3,DW-10,900,0,0,0,0,0,1800,0,0,0,0,0,0,1800,0,0,0,507600,0,0,0,0,0,0,114300,139500,27900,0,1800,0,0,0,0,702900,0,0,0,0,6300,0,0,0,0,0,36900
4,DW-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18900,705600,0,0,0,2700,81000,0,78300,117900,5400,6300,0,0,0,0,1800,486000,14400,1800,0,0,0,0,0,9000,0,0,0
5,DW-12a,0,57600,0,0,0,0,6300,0,0,0,0,0,0,0,0,110700,12600,839700,900,0,0,5400,1800,7200,49500,143100,8100,0,0,0,0,0,1800,259200,10800,16200,0,0,0,0,0,0,0,0,0
6,DW-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,266400,0,0,900,900,190800,0,25200,74700,9900,13500,0,0,0,0,117900,789300,35100,0,0,0,0,0,0,0,16200,0,0
7,DW-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584100,0,0,0,0,131400,168300,46800,38700,0,0,2700,1800,36000,14400,24300,279900,190800,23400,0,0,0,0,0,0,1800,0,0
8,DW-1524,0,0,0,270900,0,0,0,0,0,0,0,0,0,0,0,0,1800,741600,0,0,0,0,5400,0,13500,37800,1800,0,0,0,0,0,0,447300,0,0,11700,0,0,0,0,0,0,0,0
9,DW-1525,0,0,0,279000,0,0,0,0,0,0,0,0,0,0,0,0,1800,745200,0,0,0,0,5400,0,13500,34200,1800,0,0,0,0,0,0,432900,0,0,14400,0,0,0,0,0,0,0,0
10,DW-1544,218700,0,0,0,0,0,10800,0,9000,5400,900,0,0,0,0,20700,21600,615600,5400,0,11700,0,102600,0,9900,44100,0,0,2700,0,0,0,900,324000,0,2700,0,0,0,103500,0,0,9900,8100,0
11,DW-16,0,0,0,0,9000,0,900,0,80100,0,63000,0,346500,0,0,0,4500,255600,5400,0,0,2700,55800,16200,24300,99000,49500,2700,1800,0,2700,1800,11700,343800,113400,10800,0,0,0,900,0,0,0,47700,0
12,DW-17,2700,0,0,89100,0,0,1800,0,0,0,0,0,0,0,0,0,8100,905400,0,0,0,0,28800,0,3600,44100,900,2700,0,0,0,0,0,48600,0,0,0,0,0,900,392400,0,0,900,0
13,DW-2,72900,0,4500,0,0,0,8100,0,2700,0,0,0,0,0,1800,0,0,315000,0,0,2700,4500,132300,32400,1800,55800,19800,2700,29700,3600,19800,0,36000,606600,98100,39600,0,6300,0,6300,1800,4500,0,16200,0
14,DW-3,2700,0,0,183600,0,0,4500,1800,23400,1800,16200,0,0,0,1800,0,2700,215100,0,0,900,0,464400,22500,24300,142200,24300,0,12600,0,1800,0,8100,240300,11700,16200,0,0,0,2700,83700,17100,1800,0,0
