OBJECTID,LOCATION,CORN,MINT,BARLEY,SPRING_WHEAT,WINTER_WHEAT,RYE,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,PEAS,CANEBERRIES,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,APPLES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,WALNUTS,PEARS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,GARLIC,GREENS,PLUMS,SQUASH,PUMPKINS,BLUEBERRIES,CAULIFLOWER,RADISHES,TURNIPS
1,DW-1,0,0,0,0,3600,0,0,0,4500,0,0,0,0,0,0,0,0,3600,0,9900,0,0,0,72900,1800,0,0,234000,442800,297900,27000,0,0,4500,0,18000,328500,69300,3600,0,0,0,0,0,0,0,0,0
2,GW-9,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,900,1278000,0,0,0,0,0,0,0,0,0,11700,26100,0,0,0,0,0,0,0,193500,0,0,0,0,0,0,0,0,0,0,0
3,DW-10,10800,0,0,0,0,0,0,0,1800,0,0,27000,0,0,0,0,0,587700,0,0,0,0,0,0,0,0,0,104400,139500,28800,0,0,0,0,0,0,641700,0,0,0,0,0,0,0,0,0,0,0
4,DW-11,1800,0,0,0,0,0,0,0,31500,0,1800,0,0,0,0,0,3600,774900,0,0,0,0,1800,19800,0,0,0,72900,123300,5400,6300,0,0,0,0,900,465300,15300,4500,0,0,0,0,0,0,0,0,0
5,DW-12a,4500,0,0,0,6300,0,0,0,8100,0,0,0,0,0,0,0,1800,1003500,9900,0,0,0,2700,6300,0,0,1800,49500,143100,5400,0,1800,0,0,0,0,261900,10800,13500,0,0,0,0,0,0,0,0,0
6,DW-13,0,0,0,0,2700,0,0,0,1800,0,0,1800,0,0,0,900,13500,245700,0,0,0,19800,900,288000,5400,6300,0,18900,75600,21600,11700,0,0,0,1800,22500,737100,33300,18000,2700,0,0,0,0,12600,0,0,0
7,DW-15,0,0,0,0,6300,0,0,0,0,0,0,0,0,0,0,0,0,571500,1800,2700,0,0,0,148500,2700,0,194400,47700,37800,0,0,0,1800,29700,9000,34200,247500,185400,23400,0,0,0,0,0,0,0,0,0
8,DW-1524,0,0,0,0,0,0,0,0,0,14400,0,0,401400,0,0,0,0,640800,12600,0,0,0,0,34200,0,0,0,13500,39600,0,0,0,0,0,0,0,375300,0,0,0,0,0,0,0,0,0,0,0
9,DW-1525,0,0,0,0,0,0,0,0,0,5400,0,0,406800,0,0,0,0,673200,9000,0,0,0,0,14400,0,0,0,13500,36000,0,0,0,0,0,0,0,369900,0,0,0,0,0,0,0,0,0,0,0
10,DW-1544,0,0,0,0,1800,0,0,0,16200,163800,108900,0,16200,0,0,0,43200,571500,6300,0,0,4500,0,41400,0,0,0,9900,44100,0,0,0,0,0,0,0,319500,0,0,100800,72000,0,0,0,3600,0,4500,0
11,DW-16,3600,1800,0,0,6300,0,0,0,0,0,10800,0,8100,0,0,1800,3600,790200,5400,0,0,3600,0,18900,0,0,14400,20700,114300,37800,2700,4500,900,6300,0,0,338400,124200,14400,0,1800,900,9900,1800,2700,0,0,0
12,DW-17,3600,0,0,0,500400,0,0,0,4500,0,1800,0,0,0,0,0,0,648000,0,0,0,0,0,12600,0,0,1800,3600,44100,3600,0,0,0,0,0,3600,41400,0,0,0,2700,0,258300,0,0,0,0,0
13,DW-2,35100,14400,0,4500,7200,0,0,1800,8100,0,18000,900,1800,0,6300,6300,7200,275400,5400,6300,3600,8100,4500,149400,0,0,19800,1800,52200,24300,0,13500,0,23400,7200,12600,676800,84600,21600,6300,6300,0,1800,0,2700,900,5400,0
14,DW-3,5400,0,0,7200,10800,0,2700,1800,15300,104400,6300,3600,900,0,0,4500,28800,427500,4500,0,0,0,1800,401400,0,0,24300,29700,136800,24300,900,16200,0,900,0,6300,231300,13500,5400,0,1800,0,2700,0,4500,0,2700,0
15,DW-5,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,11700,4500,443700,0,0,0,0,0,8100,0,0,0,248400,545400,117000,1800,1800,0,0,0,900,139500,0,0,0,0,0,0,0,0,0,0,0
16,DW-6,0,0,0,0,1800,0,0,0,27000,10800,68400,0,10800,0,0,0,9000,600300,6300,0,0,0,0,51300,0,0,1800,10800,48600,0,0,0,0,0,0,0,309600,0,0,232200,135900,0,0,0,3600,0,1800,0
17,DW-7,6300,0,0,2700,0,0,0,87300,27900,0,3600,0,0,0,0,17100,62100,252900,5400,3600,0,1800,0,253800,0,0,104400,28800,12600,1800,0,31500,0,13500,4500,37800,285300,216900,27000,0,2700,0,14400,0,21600,0,1800,0
18,DW-7a,6300,0,0,2700,0,0,0,95400,35100,0,3600,0,0,0,0,19800,71100,251100,5400,4500,0,1800,0,253800,0,0,100800,31500,13500,1800,0,30600,0,11700,4500,36000,288000,198000,23400,0,2700,0,12600,0,21600,0,1800,0
