OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,SPRING_WHEAT,WINTER_WHEAT,RYE,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,ONIONS,CHICK_PEAS,PEAS,HOPS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,APPLES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,WALNUTS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,GREENS,SQUASH,BLUEBERRIES,RADISHES,TURNIPS
1,DW-1,0,0,0,0,0,0,0,0,5400,0,0,0,0,0,0,0,5400,6300,0,8100,0,0,0,84600,0,0,251100,432000,337500,33300,2700,0,10800,1800,7200,272700,24300,38700,0,0,0,0,0,0,0
2,GW-9,0,0,0,0,2700,0,0,0,8100,0,0,1800,0,0,0,0,0,676800,0,0,0,0,0,0,0,0,32400,23400,0,0,0,0,0,0,0,783000,0,0,0,0,0,0,0,0,0
3,DW-10,0,0,0,0,0,0,0,0,11700,0,0,0,0,0,0,0,900,567000,0,0,0,0,0,0,0,2700,68400,111600,32400,1800,0,0,0,0,0,729900,0,2700,0,0,0,0,12600,0,0
4,DW-11,0,0,0,2700,1800,0,0,0,32400,0,0,0,0,0,0,0,0,765000,0,0,0,0,0,19800,0,0,47700,103500,5400,6300,0,0,5400,900,900,520200,2700,13500,0,0,0,0,900,0,0
5,DW-12a,0,0,0,0,7200,0,0,0,29700,0,900,1800,0,0,0,0,1800,1008000,0,0,0,1800,0,8100,0,13500,4500,90900,5400,0,0,0,2700,0,0,326700,1800,26100,0,0,0,0,0,0,0
6,DW-13,4500,900,21600,0,0,0,2700,900,7200,0,4500,5400,0,0,0,900,8100,263700,0,0,1800,1800,0,553500,2700,0,45900,69300,10800,11700,0,0,14400,0,1800,452700,26100,21600,0,0,0,1800,6300,0,0
7,DW-15,2700,0,0,900,1800,0,0,0,4500,0,1800,0,0,0,900,0,900,564300,900,900,0,1800,0,185400,0,199800,60300,36900,0,0,0,0,27000,9900,26100,200700,130500,85500,0,0,0,0,900,0,0
8,DW-1524,0,0,0,0,0,0,900,0,2700,0,0,1800,0,0,0,0,1800,816300,0,0,0,0,0,5400,0,0,70200,39600,900,0,0,0,0,0,0,592200,0,0,0,0,0,0,0,0,0
9,DW-1525,0,0,0,0,0,0,900,0,2700,0,0,1800,0,0,0,0,1800,790200,0,0,0,0,0,4500,0,0,78300,36000,900,0,0,0,0,0,0,611100,0,0,0,0,0,0,0,0,0
10,DW-1544,0,4500,0,10800,49500,0,0,0,18000,26100,4500,0,0,0,3600,0,42300,917100,0,0,0,0,0,40500,0,0,13500,52200,0,0,0,0,0,0,0,330300,0,7200,0,0,6300,0,1800,0,0
11,DW-16,0,0,1800,0,1800,0,0,0,0,0,0,3600,0,0,0,2700,4500,857700,1800,0,0,900,0,61200,0,12600,18900,82800,40500,2700,0,0,7200,4500,2700,298800,44100,87300,0,1800,0,0,9000,0,900
