OBJECTID,LOCATION,CORN,SWEET CORN,MINT,BARLEY,SPRING_WHEAT,WINTER_WHEAT,OATS,CANOLA,ALFALFA,OTHER HAY/NON ALFALFA,SUGARBEETS,DRY_BEANS,POTATOES,OTHER_CROPS,MISC_VEGS_&_FRUITS,ONIONS,CUCUMBERS,PEAS,HOPS,HERBS,CLOVER/WILDFLOWERS,SOD/GRASS SEED,FALLOW/IDLE CROPLAND,CHERRIES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,WALNUTS,OPEN_WATER,DEVELOPED/OPEN SPACE,DEVELOPED/LOW INTENSITY,DEVELOPED/MED INTENSITY,DEVELOPED HIGH INTENSITY,BARREN,DECIDIUOUS FOREST,EVERGREEN FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND/PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,PEPPERS,GREENS,STRAWBERRIES,SQUASH,VETCH,PUMPKINS,BLUEBERRIES,RADISHES,TURNIPS,CRANBERRIES
1,DW-1,0,0,0,0,0,0,0,0,0,8100,0,0,0,0,0,0,0,0,0,0,1800,3600,0,900,0,0,103500,0,0,252900,448200,341100,22500,1800,0,11700,2700,0,267300,9000,43200,0,0,0,0,0,0,0,0,0,0,0,0
2,GW-9,0,0,0,0,0,5400,0,0,0,20700,0,0,0,6300,0,0,0,900,0,0,0,428400,0,0,0,0,5400,0,0,36000,23400,0,0,0,0,0,0,0,758700,0,0,0,0,0,0,0,0,0,0,0,238500,0,0
3,DW-10,0,0,0,0,0,0,0,0,0,23400,0,0,0,900,0,0,0,0,0,0,0,567000,0,0,0,0,20700,0,5400,65700,117900,32400,900,0,0,0,0,0,704700,0,2700,0,0,0,0,0,0,0,0,0,0,0,0
4,DW-11,0,0,0,0,0,7200,0,0,0,56700,0,0,0,1800,0,0,0,0,0,0,0,759600,0,0,0,0,27900,0,0,48600,112500,9000,4500,0,0,3600,0,900,480600,3600,17100,0,0,0,0,0,0,0,0,0,0,0,0
5,DW-12a,0,0,206100,0,1800,3600,14400,0,0,35100,118800,0,0,17100,0,0,0,0,0,0,2700,661500,0,0,0,1800,20700,0,10800,5400,90900,5400,0,0,0,1800,0,0,300600,1800,24300,0,0,0,2700,2700,0,0,0,0,0,0,0
6,DW-13,2700,0,27000,0,0,900,0,0,1800,5400,0,900,2700,1800,0,0,0,0,1800,0,3600,219600,0,0,0,1800,590400,0,0,41400,72900,9900,11700,0,0,10800,900,1800,459000,29700,37800,0,0,0,0,0,0,900,0,6300,0,0,0
7,DW-15,2700,0,0,0,0,3600,0,0,900,8100,0,900,0,0,0,0,0,0,0,0,0,540000,0,0,0,0,208800,0,216000,57600,38700,0,0,0,0,32400,7200,22500,192600,130500,88200,0,0,0,0,0,0,0,0,0,1800,0,0
8,DW-1524,0,0,0,0,0,11700,0,0,0,3600,0,0,0,1800,0,0,0,0,0,0,0,782100,0,0,0,0,2700,0,0,26100,42300,900,0,0,0,0,0,0,654300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,DW-1525,0,0,0,0,0,13500,0,0,0,3600,0,0,0,2700,0,0,0,0,0,0,0,840600,0,0,0,0,2700,0,0,31500,38700,900,0,0,0,0,0,0,599400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,DW-1544,1800,0,0,0,9000,12600,900,0,0,19800,51300,0,0,2700,0,0,0,0,0,0,15300,738900,6300,0,0,0,243900,0,0,11700,54900,0,0,0,0,0,0,0,354600,0,3600,0,0,0,0,0,0,0,0,0,1800,0,0
11,DW-16,0,0,1800,0,3600,0,0,0,0,900,0,7200,0,6300,0,0,0,0,3600,0,0,846900,0,0,0,0,55800,0,18000,21600,87300,39600,1800,0,0,9900,6300,1800,310500,32400,92700,0,0,0,0,0,0,0,0,0,0,0,0
12,DW-17,0,0,0,0,1800,292500,38700,0,0,3600,3600,5400,0,0,0,0,0,4500,0,0,900,794700,0,0,0,0,86400,0,0,14400,46800,7200,1800,0,0,0,0,0,63000,1800,0,0,0,0,0,0,162000,4500,0,0,1800,0,0
13,DW-2,1800,0,0,0,0,7200,0,0,0,10800,1800,4500,0,0,0,0,0,3600,0,1800,6300,311400,4500,0,0,900,262800,900,117000,16200,27000,6300,0,12600,0,16200,7200,7200,570600,25200,95400,0,0,0,0,1800,0,0,0,900,0,0,900
14,DW-3,1800,0,3600,0,0,207900,18900,900,0,7200,74700,0,0,900,0,0,0,2700,0,0,4500,277200,0,0,0,0,480600,0,57600,28800,90000,9000,0,1800,0,3600,0,3600,211500,8100,29700,0,0,0,0,0,0,0,0,2700,0,0,0
15,DW-5,0,0,1800,0,0,28800,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,351900,0,0,0,0,3600,0,0,275400,553500,164700,5400,0,0,0,0,0,140400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DW-6,1800,900,0,0,0,900,1800,0,0,30600,11700,0,0,0,0,0,0,0,0,0,65700,547200,9000,0,0,0,419400,0,0,11700,58500,0,0,0,0,0,0,0,352800,0,3600,0,0,0,0,0,7200,0,0,0,0,0,0
17,DW-7,0,0,3600,0,0,1800,0,0,5400,22500,0,0,0,0,900,0,0,0,0,0,103500,180900,0,0,5400,0,409500,0,135000,41400,13500,0,0,13500,0,7200,5400,8100,315900,63000,183600,0,0,0,0,0,0,0,0,6300,0,0,0
18,DW-7a,0,0,4500,0,0,3600,0,0,5400,31500,0,0,0,0,900,0,0,0,0,0,117900,175500,0,0,5400,0,411300,0,127800,44100,14400,0,0,14400,0,7200,3600,8100,318600,54000,171000,0,0,0,0,0,0,0,0,6300,0,0,0
19,DW-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336600,784800,0,0,0,0,20700,0,0,82800,33300,0,0,0,0,0,0,0,274500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,DW-9,0,0,0,0,0,0,0,0,0,6300,0,0,0,0,0,0,0,0,1800,0,324900,124200,0,0,0,0,27900,0,0,29700,88200,0,0,0,0,2700,900,1800,452700,32400,434700,0,0,0,0,0,0,0,0,9000,0,0,0
21,GW-1,1800,0,0,0,54900,148500,73800,0,0,9900,900,0,0,0,0,0,0,0,1800,0,3600,432000,0,0,0,0,133200,0,0,51300,144900,8100,0,0,0,5400,0,0,436500,0,12600,0,0,0,0,0,0,0,0,0,0,0,0
22,GW-10,0,0,0,0,0,9000,0,0,0,900,0,0,0,0,0,0,0,0,0,0,28800,1002600,0,0,0,0,0,0,0,49500,30600,900,0,0,0,0,0,0,400500,0,0,0,1800,0,0,0,0,0,0,0,0,1800,0
23,GW-11,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,291600,0,0,0,0,900,0,0,4500,77400,18000,0,0,0,0,0,0,1136700,0,1800,0,0,0,0,0,0,0,0,0,0,0,0
24,GW-12,31500,1800,0,0,0,900,21600,0,1800,56700,0,10800,0,1800,0,0,0,0,7200,0,22500,480600,0,0,0,0,26100,0,0,46800,23400,18900,1800,0,0,0,0,0,776700,0,5400,0,1800,0,0,0,0,0,0,0,0,0,0
25,GW-13,900,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,1800,395100,0,1800,0,0,72000,0,16200,16200,108900,6300,0,0,0,4500,2700,2700,801000,35100,69300,0,0,0,0,0,0,0,0,0,0,0,0
26,GW-15,900,0,0,0,1800,900,0,0,0,30600,0,900,0,0,2700,0,0,118800,0,0,2700,837000,0,1800,0,0,57600,0,0,6300,45900,23400,0,0,0,12600,5400,1800,242100,49500,96300,0,0,0,0,0,1800,0,0,2700,0,0,0
27,GW-16,1800,0,33300,2700,0,4500,7200,0,0,8100,0,18000,0,0,0,0,0,0,0,900,3600,661500,1800,0,0,0,23400,0,78300,61200,52200,19800,3600,3600,0,13500,9900,17100,152100,50400,181800,0,0,0,0,0,112500,1800,0,900,0,0,0
28,GW-17,0,0,0,0,0,1800,0,0,0,4500,0,0,0,0,0,0,0,0,900,0,8100,120600,0,0,2700,1800,533700,0,198000,19800,14400,0,0,0,1800,40500,20700,11700,352800,54000,143100,0,0,0,0,0,0,0,0,0,0,0,0
29,GW-18,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366300,0,0,2700,1800,451800,0,900,43200,56700,37800,11700,2700,0,1800,0,1800,441000,9000,100800,0,0,0,0,0,0,0,0,0,0,0,0
30,GW-19,0,0,0,0,1800,2700,3600,0,1800,900,2700,0,0,117900,0,0,0,1800,900,0,7200,1165500,0,0,0,0,13500,0,0,30600,71100,4500,900,0,1800,1800,2700,0,61200,14400,27900,0,0,0,0,0,0,0,0,0,0,0,0
31,GW-20,0,0,0,0,3600,316800,72000,0,0,3600,3600,2700,0,0,0,0,0,9000,0,0,900,781200,0,0,0,0,90000,0,0,13500,48600,7200,1800,0,0,0,0,0,61200,1800,0,0,0,0,0,0,110700,4500,0,0,1800,0,0
32,GW-21,0,0,0,0,0,6300,0,0,0,0,0,7200,0,0,0,0,1800,0,0,0,0,1215000,0,0,0,0,81900,0,0,8100,73800,9000,0,0,0,0,0,0,24300,0,0,0,0,0,0,0,107100,0,0,0,0,0,0
33,GW-22,7200,0,0,0,0,3600,0,0,1800,1800,0,0,0,0,0,0,0,0,6300,0,0,576000,0,0,900,0,576000,0,0,1800,54900,9900,0,1800,1800,0,900,0,204300,20700,50400,0,0,0,0,0,0,0,0,17100,0,0,0
34,GW-23,64800,15300,1800,0,2700,37800,0,900,0,37800,48600,118800,0,1800,0,1800,0,0,5400,0,5400,563400,900,2700,4500,0,48600,0,0,59400,81900,3600,7200,0,0,4500,0,0,395100,0,5400,900,0,0,0,0,0,0,0,900,17100,0,0
35,GW-24,0,0,0,0,0,1800,0,0,3600,17100,0,2700,0,0,0,0,0,0,900,0,2700,826200,1800,0,2700,0,226800,0,3600,11700,35100,12600,3600,0,1800,0,1800,0,337500,14400,19800,0,0,0,0,2700,0,0,0,2700,0,0,0
36,GW-25,1800,0,1800,0,52200,90900,0,0,0,14400,0,9000,0,0,0,0,0,0,0,0,4500,805500,0,0,0,0,18000,0,7200,81900,57600,8100,8100,0,0,21600,18900,5400,90900,97200,135900,0,0,0,0,0,0,900,2700,1800,1800,0,0
37,GW-27,0,7200,2700,0,1800,42300,0,0,0,2700,0,8100,0,1800,0,0,0,0,1800,0,10800,409500,0,0,0,0,46800,0,0,99000,470700,167400,18000,0,0,0,0,4500,225000,0,1800,0,0,0,0,0,0,0,0,0,0,0,0
38,GW-3,45900,0,0,0,0,259200,0,0,0,38700,0,7200,0,0,0,0,0,0,3600,0,13500,270900,0,8100,0,1800,358200,0,0,4500,108000,29700,5400,1800,4500,38700,35100,15300,176400,27000,72900,0,0,0,0,0,0,0,0,2700,0,0,0
39,GW-4D,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,1800,300600,0,0,0,0,15300,0,0,24300,45900,0,0,0,0,0,0,0,1123200,0,0,0,0,0,0,0,0,0,0,0,0,900,0
40,GW-4S,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,1800,307800,0,0,0,0,18000,0,0,24300,45900,0,0,0,0,0,0,0,1119600,0,0,0,0,0,0,0,0,0,0,0,0,900,0
41,GW-5,20700,1800,38700,0,0,3600,0,0,1800,7200,1800,9900,0,2700,0,0,0,0,0,0,12600,355500,3600,0,900,900,415800,0,2700,81900,57600,2700,0,0,0,17100,4500,10800,253800,94500,117000,0,0,0,0,0,1800,0,0,3600,0,0,0
42,GW-6,0,0,0,0,0,17100,0,0,0,9900,0,0,0,0,0,0,0,0,0,0,177300,425700,14400,0,0,0,41400,0,0,40500,61200,3600,0,0,0,0,0,0,730800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,GW-7,0,0,1800,0,0,4500,0,0,0,57600,1800,5400,0,1800,0,0,0,0,0,0,7200,805500,0,2700,1800,0,30600,0,7200,26100,104400,21600,2700,6300,0,0,0,0,430200,0,900,0,3600,0,0,0,0,0,0,0,0,0,0
44,GW-8,45000,4500,1800,0,0,19800,0,0,0,10800,0,40500,0,0,0,18900,0,0,0,0,0,242100,900,0,2700,0,11700,0,133200,59400,259200,69300,2700,900,0,1800,0,3600,578700,2700,8100,0,0,5400,0,0,0,0,0,0,0,0,0
45,GW-8R,74700,6300,1800,0,0,19800,0,0,0,9900,0,51300,0,0,0,23400,0,0,0,1800,0,206100,2700,0,2700,0,14400,0,133200,58500,261000,60300,2700,900,0,1800,0,3600,570600,2700,8100,0,0,7200,0,0,0,0,0,0,0,0,0
