OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,BARLEY,SPRING_WHEAT,WINTER_WHEAT,RYE,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,BUCKWHEAT,SUGARBEETS,DRY_BEANS,OTHER_CROPS,ONIONS,PEAS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,PEACHES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,GREENS,PLUMS,SQUASH,VETCH,PUMPKINS,BLUEBERRIES,CAULIFLOWER,RADISHES,TURNIPS
1,DW-1,0,0,0,0,0,1800,0,0,0,4500,0,0,0,0,0,0,0,0,3600,1800,0,0,0,0,0,97200,0,211500,356400,433800,99900,2700,3600,9900,900,1800,260100,9900,22500,0,0,0,0,0,0,0,0,0,0,0
2,GW-9,0,0,0,0,0,25200,0,0,0,5400,0,0,0,0,0,3600,0,0,0,201600,0,0,0,0,0,11700,0,27900,47700,5400,0,0,0,0,0,0,1199700,0,0,0,0,0,0,0,0,0,0,0,0,0
3,DW-10,0,0,0,0,0,2700,0,0,0,15300,0,0,0,1800,0,0,0,0,1800,131400,0,0,0,0,0,1800,2700,53100,126900,24300,22500,0,0,0,0,0,1143900,0,2700,0,0,0,0,0,10800,0,0,0,0,0
4,DW-11,0,0,0,0,0,0,0,0,0,17100,0,0,0,0,0,0,0,0,0,565200,0,0,0,0,0,1800,0,36900,118800,38700,10800,0,0,7200,0,2700,725400,2700,1800,0,0,0,0,0,0,0,0,0,0,0
5,DW-12a,0,0,167400,0,0,172800,0,0,0,16200,0,0,0,0,0,0,0,0,3600,505800,1800,0,0,0,0,0,11700,13500,95400,10800,0,0,0,1800,0,1800,511200,5400,11700,0,0,0,0,0,0,0,0,0,0,0
6,DW-13,2700,0,27000,0,0,0,0,0,0,5400,0,0,0,0,0,0,0,0,2700,244800,0,0,0,0,900,519300,0,52200,89100,18000,23400,0,0,13500,900,0,502200,13500,20700,0,0,0,0,0,0,0,6300,0,0,0
7,DW-15,0,0,0,0,900,1800,0,0,0,4500,0,0,0,0,0,0,0,0,0,541800,0,0,0,0,0,176400,197100,70200,45900,4500,0,0,0,65700,11700,1800,254700,108900,57600,0,900,0,0,0,0,0,0,0,0,0
8,DW-1524,0,0,0,0,0,10800,0,0,0,0,0,0,0,60300,0,0,0,0,0,668700,0,0,0,0,0,0,0,22500,45000,4500,0,0,0,0,0,0,720000,0,0,0,0,0,0,0,0,0,0,0,0,0
9,DW-1525,0,0,0,0,0,12600,0,0,0,0,0,0,0,132300,0,0,0,0,0,580500,0,0,0,0,0,0,0,26100,42300,4500,0,0,0,0,0,0,729900,0,0,0,0,0,0,0,0,0,0,0,0,0
10,DW-1544,4500,0,0,0,0,20700,0,0,0,9900,0,0,0,0,900,0,1800,0,10800,783000,0,0,0,0,0,173700,0,15300,70200,9900,3600,0,0,0,0,0,422100,0,1800,0,0,0,0,0,0,0,0,0,0,0
