OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,BARLEY,SPRING_WHEAT,WINTER_WHEAT,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,ONIONS,PEAS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,PEACHES,APPLES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,PEARS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,BROCCOLI,GREENS,PLUMS,STRAWBERRIES,SQUASH,VETCH,PUMPKINS,BLUEBERRIES,CAULIFLOWER,RADISHES,TURNIPS
1,DW-1,0,0,0,0,0,0,0,0,8100,0,0,0,0,0,0,0,3600,4500,0,0,0,0,0,0,82800,0,0,214200,340200,440100,106200,1800,0,9900,0,1800,270900,19800,14400,0,0,0,0,0,0,0,0,0,0,0,0,0
2,GW-9,0,0,0,0,0,23400,0,0,7200,0,0,0,0,0,0,0,0,252000,0,0,0,0,0,0,1800,0,0,26100,45000,6300,0,0,0,0,0,0,1161900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,DW-10,0,0,0,0,0,120600,0,0,10800,0,0,0,0,0,0,0,1800,300600,0,0,0,0,0,0,0,0,4500,54000,117000,34200,17100,0,0,0,0,0,881100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DW-11,0,0,0,0,0,5400,0,0,25200,0,0,2700,0,0,0,0,2700,539100,0,0,0,0,0,0,10800,0,0,37800,114300,36000,11700,0,0,0,0,1800,742500,900,2700,0,0,0,0,0,0,0,0,0,0,0,0,0
5,DW-12a,0,0,166500,0,30600,52200,0,0,4500,0,0,0,0,0,0,0,36000,540000,0,0,0,0,0,0,0,0,9900,9900,99900,11700,0,0,0,2700,0,1800,549000,4500,10800,0,0,0,0,0,0,0,0,0,0,0,0,0
6,DW-13,1800,0,17100,0,0,1800,0,0,4500,0,0,0,0,0,0,0,3600,230400,0,0,0,0,0,1800,501300,0,1800,54900,93600,18000,22500,0,0,19800,0,0,539100,20700,6300,0,1800,0,0,0,0,0,0,0,2700,0,0,0
7,DW-15,0,0,0,0,0,171000,3600,0,4500,0,0,0,0,0,0,0,0,343800,0,0,0,0,0,0,172800,0,201600,70200,50400,2700,0,0,0,47700,9900,9000,286200,110700,65700,0,0,0,0,0,0,0,0,0,0,0,2700,0
8,DW-1524,0,0,0,0,0,38700,0,0,0,0,0,0,0,0,0,0,0,734400,0,0,0,0,0,0,0,0,0,18000,57600,5400,0,0,0,0,0,0,659700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11700
9,DW-1525,0,0,0,0,0,82800,0,0,0,0,0,0,0,0,0,0,0,688500,0,0,0,0,0,0,0,0,0,23400,56700,5400,0,0,0,0,0,0,666900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9900
10,DW-1544,3600,0,0,0,0,68400,0,0,9000,0,0,1800,0,0,2700,0,237600,549900,0,0,0,0,0,0,157500,0,0,16200,72000,8100,5400,0,0,900,0,0,396000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,DW-16,0,0,3600,0,0,5400,0,0,0,0,0,900,0,120600,7200,0,9000,718200,0,0,0,0,0,3600,12600,0,13500,27900,84600,56700,9900,0,0,14400,0,0,357300,42300,57600,0,2700,0,0,0,0,0,0,0,0,0,0,0
