OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,BARLEY,SPRING_WHEAT,WINTER_WHEAT,OATS,CANOLA,ALFALFA,OTHER_HAY_NON_ALFALFA,BUCKWHEAT,SUGARBEETS,DRY_BEANS,OTHER_CROPS,ONIONS,CUCUMBERS,PEAS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,PEACHES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,GREENS,PLUMS,STRAWBERRIES,SQUASH,VETCH,BLUEBERRIES,CABBAGE,CAULIFLOWER,RADISHES,TURNIPS
1,DW-1,0,0,0,0,0,0,0,0,0,8100,0,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,72000,0,214200,340200,440100,106200,1800,0,12600,0,4500,280800,9900,25200,0,0,0,0,0,0,0,0,0,0,0,0
2,GW-9,0,0,0,0,0,0,0,0,0,25200,0,0,0,0,0,0,0,0,0,0,229500,0,0,0,0,0,0,0,26100,45000,6300,0,0,0,0,0,0,1191600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,DW-10,0,0,0,0,0,0,0,0,0,23400,0,0,0,1800,0,0,0,0,0,1800,424800,0,0,0,0,0,900,4500,52200,118800,34200,17100,0,0,0,0,4500,857700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DW-11,0,0,0,0,0,342900,0,0,0,34200,0,0,0,0,0,0,3600,0,0,2700,180900,0,0,0,0,0,900,0,42300,115200,36000,11700,0,0,0,0,1800,756000,1800,3600,0,0,0,0,0,0,0,0,0,0,0,0
5,DW-12a,0,0,167400,0,0,277200,0,0,0,20700,0,0,0,0,0,0,0,0,0,64800,278100,0,0,0,0,0,0,11700,9900,99900,11700,0,900,0,1800,0,1800,568800,4500,10800,0,0,0,0,0,0,0,0,0,0,0,0
6,DW-13,1800,0,0,0,0,3600,0,0,0,7200,0,0,0,0,0,0,0,0,0,1800,254700,3600,0,0,0,0,491400,1800,55800,93600,18000,22500,0,0,15300,1800,0,543600,22500,4500,0,0,0,0,0,0,0,0,0,0,0,0
7,DW-15,0,0,0,0,0,76500,0,0,0,8100,0,0,37800,1800,0,0,0,0,0,12600,419400,0,0,0,0,0,169200,207900,70200,50400,2700,0,0,900,45900,14400,5400,272700,96300,60300,0,0,0,0,0,0,0,0,0,0,0,0
8,DW-1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711900,0,0,0,0,0,0,0,20700,47700,5400,0,0,0,0,0,0,739800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,DW-1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725400,0,0,0,0,0,0,0,24300,46800,5400,0,0,0,0,0,0,731700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,DW-1544,3600,0,0,0,0,221400,5400,0,0,12600,0,162900,1800,0,0,0,2700,2700,5400,30600,292500,2700,0,0,1800,0,154800,0,16200,72000,8100,5400,900,0,900,0,0,503100,0,900,0,11700,0,0,0,900,0,0,0,0,8100,0
