Crop Type,Pixels,Year
Corn,6354900,2008
Sorghum,1800,2008
Sweet Corn,18613800,2008
Mint,2539800,2008
Barley,23400,2008
Spring Wheat,4793400,2008
Winter Wheat,65901600,2008
Oats,2505600,2008
Speltz,2700,2008
Alfalfa,666000,2008
Other Hay/Non Alfalfa,4248000,2008
Sugarbeets,2808000,2008
Dry Beans,5258700,2008
Potatoes,6300,2008
Other Crops,2914200,2008
Misc Vegs & Fruits,219600,2008
Onions,10800,2008
Peas,280800,2008
Caneberries,4500,2008
Hops,448200,2008
Herbs,5348700,2008
Clover/Wildflowers,8740800,2008
Sod/Grass Seed,495068400,2008
Fallow/Idle Cropland,3427200,2008
Cherries,109800,2008
Peaches,2700,2008
Apples,6300,2008
Grapes,65700,2008
Christmas Trees,649800,2008
Other Tree Crops,10930500,2008
Walnuts,8100,2008
Open Water,20458800,2008
Developed/Open Space,22768200,2008
Developed/Low Intensity,46413000,2008
Developed/Med Intensity,13886100,2008
Developed/High Intensity,6566400,2008
Barren,3313800,2008
Deciduous Forest,671400,2008
Evergreen Forest,5528700,2008
Mixed Forest,4059900,2008
Shrubland,1728000,2008
Grassland/Pasture,235984500,2008
Woody Wetlands,55298700,2008
Herbaceous Wetlands,2515500,2008
Triticale,3600,2008
Garlic,422100,2008
Broccoli,509400,2008
Peppers,900,2008
Greens,405000,2008
Plums,5400,2008
Strawberries,3600,2008
Squash,7305300,2008
Pumpkins,900,2008
Blueberries,88200,2008
Cabbage,5400,2008
Cauliflower,172800,2008
Radishes,1026900,2008
Turnips,459900,2008
Corn,14453100,2009
Sweet Corn,23469300,2009
Mint,5159700,2009
Barley,31500,2009
Spring Wheat,14583600,2009
Winter Wheat,60618600,2009
Oats,3456900,2009
Rape Seed,5400,2009
Mustard,18000,2009
Alfalfa,891000,2009
Other Hay/Non Alfalfa,4039200,2009
Buckwheat,12600,2009
Sugarbeets,5302800,2009
Dry Beans,6343200,2009
Potatoes,106200,2009
Other Crops,4968900,2009
Misc Vegs & Fruits,26100,2009
Onions,19800,2009
Peas,1075500,2009
Caneberries,185400,2009
Hops,346500,2009
Herbs,10482300,2009
Clover/Wildflowers,12120300,2009
Sod/Grass Seed,445651200,2009
Fallow/Idle Cropland,4846500,2009
Cherries,338400,2009
Peaches,81900,2009
Apples,10800,2009
Grapes,65700,2009
Christmas Trees,1175400,2009
Other Tree Crops,10018800,2009
Walnuts,36000,2009
Open Water,22914000,2009
Developed/Open Space,17364600,2009
Developed/Low Intensity,39438900,2009
Developed/Med Intensity,13492800,2009
Developed/High Intensity,6580800,2009
Barren,1098900,2009
Deciduous Forest,542700,2009
Evergreen Forest,5633100,2009
Mixed Forest,2295900,2009
Shrubland,2647800,2009
Grassland/Pasture,250943400,2009
Woody Wetlands,55630800,2009
Herbaceous Wetlands,2732400,2009
Triticale,27000,2009
Carrots,4500,2009
Garlic,29700,2009
Prunes,2700,2009
Broccoli,855900,2009
Peppers,43200,2009
Greens,271800,2009
Plums,36000,2009
Strawberries,12600,2009
Squash,15048900,2009
Vetch,105300,2009
Pumpkins,57600,2009
Blueberries,582300,2009
Cabbage,18900,2009
Cauliflower,158400,2009
Radishes,1123200,2009
Turnips,121500,2009
Cranberries,1806300,2009
Corn,8801100,2010
Soybeans,232200,2010
Sweet Corn,15766200,2010
Mint,7273800,2010
Barley,37800,2010
Spring Wheat,10422000,2010
Winter Wheat,125410500,2010
Oats,1847700,2010
Canola,27900,2010
Rape Seed,20700,2010
Mustard,900,2010
Alfalfa,1119600,2010
Other Hay/Non Alfalfa,5410800,2010
Camelina,4500,2010
Sugarbeets,4942800,2010
Dry Beans,3906000,2010
Potatoes,86400,2010
Other Crops,3783600,2010
Misc Vegs & Fruits,71100,2010
Onions,35100,2010
Peas,1156500,2010
Hops,145800,2010
Herbs,8034300,2010
Clover/Wildflowers,15445800,2010
Sod/Grass Seed,308142900,2010
Fallow/Idle Cropland,19305000,2010
Forest,1501200,2010
Cherries,216000,2010
Apples,1800,2010
Grapes,11700,2010
Christmas Trees,905400,2010
Other Tree Crops,7724700,2010
Walnuts,26100,2010
Wetlands,559800,2010
Open Water,21147300,2010
Developed/Open Space,20805300,2010
Developed/Low Intensity,45728100,2010
Developed/Med Intensity,13359600,2010
Developed/High Intensity,6197400,2010
Barren,1296000,2010
Deciduous Forest,821700,2010
Evergreen Forest,3808800,2010
Mixed Forest,2612700,2010
Shrubland,1424700,2010
Grassland/Pasture,319402800,2010
Woody Wetlands,59011200,2010
Herbaceous Wetlands,4401000,2010
Triticale,361800,2010
Garlic,5400,2010
Prunes,14400,2010
Broccoli,73800,2010
Peppers,766800,2010
Greens,95400,2010
Plums,14400,2010
Strawberries,411300,2010
Squash,12827700,2010
Vetch,430200,2010
