TYPE,FULLCODE,STATE,COUNTY,TRACT,BLOCK,PLACE,COUSUB,CONCITY,AIANNH,SHEETS
Block,410430306004002,41,43,306,4002,32550,91292,,,1
Block,410430306004003,41,43,306,4003,32550,91292,,,1
Block,410430306004004,41,43,306,4004,32550,91292,,,1
Block,410430306004005,41,43,306,4005,32550,91292,,,1
Block,410430306004006,41,43,306,4006,32550,91292,,,1
Block,410430306004007,41,43,306,4007,32550,91292,,,1
Block,410430306004010,41,43,306,4010,32550,91292,,,1
Block,410430306004011,41,43,306,4011,32550,91292,,,1
Block,410430306004012,41,43,306,4012,32550,91292,,,1
Block,410430306004013,41,43,306,4013,32550,91292,,,1
Block,410430306004015,41,43,306,4015,32550,91292,,,1
Block,410430306004016,41,43,306,4016,32550,91292,,,1
Block,410430306004017,41,43,306,4017,32550,91292,,,1
Block,410430306004018,41,43,306,4018,32550,91292,,,1
Block,410430306004019,41,43,306,4019,32550,91292,,,1
Block,410430306004020,41,43,306,4020,32550,91292,,,1
Block,410430306004021,41,43,306,4021,32550,91292,,,1
Block,410430306004022,41,43,306,4022,32550,91292,,,1
Block,410430306004023,41,43,306,4023,32550,91292,,,1
Block,410430306004024,41,43,306,4024,32550,91292,,,1
Block,410430306004025,41,43,306,4025,32550,91292,,,1
Block,410430306004026,41,43,306,4026,32550,91292,,,1
Block,410430306004027,41,43,306,4027,32550,91292,,,1
Block,410430306004028,41,43,306,4028,32550,91292,,,1
Block,410430306004030,41,43,306,4030,32550,91292,,,1
Block,410430306004031,41,43,306,4031,32550,91292,,,1
Block,410430306004032,41,43,306,4032,32550,91292,,,1
Block,410430306004033,41,43,306,4033,32550,91292,,,1
Block,410430306004034,41,43,306,4034,32550,91292,,,1
Block,410430306004035,41,43,306,4035,32550,91292,,,1
Block,410430306004036,41,43,306,4036,32550,91292,,,1
Block,410430306004037,41,43,306,4037,32550,91292,,,1
Block,410430306004038,41,43,306,4038,32550,91292,,,1
Block,410430306004039,41,43,306,4039,32550,91292,,,1
Block,410430306004040,41,43,306,4040,32550,91292,,,1
Block,410430306004041,41,43,306,4041,32550,91292,,,1
Block,410430306004042,41,43,306,4042,32550,91292,,,1
Block,410430306004043,41,43,306,4043,32550,91292,,,1
Block,410430306004046,41,43,306,4046,32550,91292,,,1
Block,410430306004047,41,43,306,4047,32550,91292,,,1
Block,410430306004048,41,43,306,4048,32550,91292,,,1
Block,410430306004049,41,43,306,4049,32550,91292,,,1
Block,410430306004050,41,43,306,4050,32550,91292,,,1
Block,410430306004051,41,43,306,4051,32550,91292,,,1
Block,410430306004052,41,43,306,4052,32550,91292,,,1
Block,410430306004053,41,43,306,4053,32550,91292,,,1
Block,410430306004054,41,43,306,4054,32550,91292,,,1
Block,410430306004055,41,43,306,4055,32550,91292,,,1
Block,410430306004056,41,43,306,4056,32550,91292,,,1
Block,410430306004057,41,43,306,4057,32550,91292,,,1
Block,410430306004061,41,43,306,4061,32550,91292,,,1
Block,410430306004066,41,43,306,4066,32550,91292,,,1
Block,410430306005014,41,43,306,5014,32550,91292,,,1
Block,410430306005015,41,43,306,5015,32550,91292,,,1
Block,410430306005021,41,43,306,5021,32550,91292,,,1
Block,410430306005022,41,43,306,5022,32550,91292,,,1
Block,410430306005023,41,43,306,5023,32550,91292,,,1
Block,410430306005025,41,43,306,5025,32550,91292,,,1
Block,410430306005026,41,43,306,5026,32550,91292,,,1
Block,410430306005027,41,43,306,5027,32550,91292,,,1
Block,410430306005029,41,43,306,5029,32550,91292,,,1
Block,410430306005030,41,43,306,5030,32550,91292,,,1
Block,410430306005031,41,43,306,5031,32550,91292,,,1
Block,410430306005032,41,43,306,5032,32550,91292,,,1
Block,410430306005033,41,43,306,5033,32550,91292,,,1
Block,410430306005034,41,43,306,5034,32550,91292,,,1
Block,410430306005035,41,43,306,5035,32550,91292,,,1
Block,410430306005036,41,43,306,5036,32550,91292,,,1
Block,410430306005037,41,43,306,5037,32550,91292,,,1
Block,410430306005038,41,43,306,5038,32550,91292,,,1
Block,410430306005039,41,43,306,5039,32550,91292,,,1
