TYPE,FULLCODE,STATE,COUNTY,TRACT,BLOCK,PLACE,COUSUB,CONCITY,AIANNH,SHEETS
Block,410030104003011,41,3,104,3011,49600,93009,,,1
Block,410030104003013,41,3,104,3013,49600,93009,,,1
Block,410030104003014,41,3,104,3014,49600,93009,,,1
Block,410030104003015,41,3,104,3015,49600,93009,,,1
Block,410030104003016,41,3,104,3016,49600,93009,,,1
Block,410030104003019,41,3,104,3019,49600,93009,,,1
Block,410030104003020,41,3,104,3020,49600,93009,,,1
Block,410030104003027,41,3,104,3027,49600,93009,,,1
Block,410030104003047,41,3,104,3047,49600,93009,,,1
Block,410030104004028,41,3,104,4028,49600,93009,,,1
Block,410030104004029,41,3,104,4029,49600,93009,,,1
Block,410030104004032,41,3,104,4032,49600,93009,,,1
Block,410030104004034,41,3,104,4034,49600,93009,,,1
Block,410030104004036,41,3,104,4036,49600,93009,,,1
Block,410030104004037,41,3,104,4037,49600,93009,,,1
Block,410030104004038,41,3,104,4038,49600,93009,,,1
Block,410030104004039,41,3,104,4039,49600,93009,,,1
Block,410030104004040,41,3,104,4040,49600,93009,,,1
Block,410030104004041,41,3,104,4041,49600,93009,,,1
Block,410030104004042,41,3,104,4042,49600,93009,,,1
Block,410030104004043,41,3,104,4043,49600,93009,,,1
Block,410030104004044,41,3,104,4044,49600,93009,,,1
Block,410030104004045,41,3,104,4045,49600,93009,,,1
Block,410030104004046,41,3,104,4046,49600,93009,,,1
Block,410030104004047,41,3,104,4047,49600,93009,,,1
Block,410030104004048,41,3,104,4048,49600,93009,,,1
Block,410030104004049,41,3,104,4049,49600,93009,,,1
Block,410030104004050,41,3,104,4050,49600,93009,,,1
Block,410030104004051,41,3,104,4051,49600,93009,,,1
Block,410030104004052,41,3,104,4052,49600,93009,,,1
Block,410030104004053,41,3,104,4053,49600,93009,,,1
