"","Location","Beginning Nitrate Concentration","Ending Nitrate Concentration","Well Trend","N13 Trend","Well Classification"
"1","DW-15","< 7 mg-N/L Start","< 7 mg-N/L End","Decrease","No Significance","Mixing"
"2","DW-1525","> 10 mg-N/L Start","> 10 mg-N/L End","Decrease","Decreasing","Mixing"
"3","DW-1544","< 7 mg-N/L Start","> 10 mg-N/L End","Increase","No Significance","Mixing"
"4","DW-2","< 7 mg-N/L Start","< 7 mg-N/L End","No Significance","No Significance","Dilution"
"5","DW-7a","< 7 mg-N/L Start","< 7 mg-N/L End","No Significance","No Significance","Mixing"
"6","GW-12","> 10 mg-N/L Start","> 10 mg-N/L End","Increase","No Significance","Mixing"
"7","GW-16","< 7 mg-N/L Start","< 7 mg-N/L End","No Significance","No Significance","Dilution"
"8","GW-17","< 7 mg-N/L Start","< 7 mg-N/L End","Increase","No Significance","Dilution"
"9","GW-19","< 7 mg-N/L Start","< 7 mg-N/L End","No Significance","No Significance","Mixing"
"10","GW-24","< 7 mg-N/L Start","< 7 mg-N/L End","No Significance","No Significance","Dilution"
"11","GW-5","< 7 mg-N/L Start","7-10 mg-N/L End","No Significance","No Significance","Dilution"
"12","GW-6",NA,NA,NA,"No Significance","Dilution"
"13","DW-11","< 7 mg-N/L Start","7-10 mg-N/L End","No Significance","No Significance","Leaching"
"14","DW-13","< 7 mg-N/L Start","7-10 mg-N/L End","Increase","No Significance","Leaching"
"15","DW-17","> 10 mg-N/L Start","> 10 mg-N/L End","No Significance","Decreasing","Leaching"
"16","DW-8","> 10 mg-N/L Start","> 10 mg-N/L End","Increase","No Significance","Leaching"
"17","GW-1","7-10 mg-N/L Start","> 10 mg-N/L End","Increase","No Significance","Leaching"
"18","GW-20","> 10 mg-N/L Start","> 10 mg-N/L End","No Significance","No Significance","Leaching"
"19","GW-21","7-10 mg-N/L Start","> 10 mg-N/L End","No Significance","No Significance","Leaching"
"20","GW-22","< 7 mg-N/L Start","< 7 mg-N/L End","No Significance","Increasing","Leaching"
"21","GW-3","> 10 mg-N/L Start","> 10 mg-N/L End","No Significance","Decreasing","Leaching"
"22","GW-4D","< 7 mg-N/L Start","7-10 mg-N/L End","Increase","No Significance","Leaching"
"23","DW-1524","> 10 mg-N/L Start","> 10 mg-N/L End","No Significance","No Significance","Multi-Proc"
"24","GW-10","< 7 mg-N/L Start","< 7 mg-N/L End","Increase","Decreasing","Multi-Proc"
"25","GW-11","< 7 mg-N/L Start","< 7 mg-N/L End","Increase","No Significance","Multi-Proc"
"26","GW-18","< 7 mg-N/L Start","> 10 mg-N/L End","Increase","No Significance","Multi-Proc"
"27","GW-4S","< 7 mg-N/L Start","< 7 mg-N/L End","Decrease","No Significance","Multi-Proc"
"28","GW-7","< 7 mg-N/L Start","< 7 mg-N/L End","Increase","Decreasing","Multi-Proc"
"29","GW-8R","< 7 mg-N/L Start","< 7 mg-N/L End","No Significance","No Significance","Multi-Proc"
"30","DW-10","< 7 mg-N/L Start","> 10 mg-N/L End","Increase","Increasing","Leaching"
"31","DW-16","< 7 mg-N/L Start","< 7 mg-N/L End","Decrease","No Significance","Stable"
"32","DW-3","< 7 mg-N/L Start","< 7 mg-N/L End","Increase","No Significance","Stable"
"33","DW-5","< 7 mg-N/L Start","< 7 mg-N/L End","No Significance","No Significance","Stable"
"34","DW-6","> 10 mg-N/L Start","< 7 mg-N/L End","Decrease","No Significance","Stable"
"35","DW-9","< 7 mg-N/L Start","< 7 mg-N/L End","No Significance","No Significance","Stable"
"36","GW-13","< 7 mg-N/L Start","< 7 mg-N/L End","Increase","No Significance","Stable"
"37","GW-15","< 7 mg-N/L Start","< 7 mg-N/L End","No Significance","No Significance","Stable"
"38","GW-27",NA,NA,NA,"Decreasing","Stable"
"39","GW-8",NA,NA,NA,NA,NA
"40","GW-9","7-10 mg-N/L Start","< 7 mg-N/L End","Decrease","No Significance","Stable"
"41","Ingram",NA,NA,NA,"No Significance",NA
"42","Lake",NA,NA,NA,"No Significance",NA
"43","Muddy",NA,NA,NA,"No Significance",NA
"44","Slough",NA,NA,NA,"No Significance",NA
"45","Will",NA,NA,NA,"No Significance",NA
