"","Location","N_Classification","Low N Tau","Low N pvalue","High N Tau","High N pvalue","Nitrate_Tau","Nitrate_pvalue","Max"
"1","DW-10","Stable/Leaching",-0.574169218540192,0.0034631525631994,0.229667693376541,0.254452466964722,-0.599999964237213,0.00139058358035982,12.3
"2","DW-11","Leaching",-0.12552410364151,0.528069913387299,0.025104820728302,0.928178787231445,0.132352963089943,0.483755826950073,12.3
"3","DW-13","Stable/Leaching",0.259416490793228,0.176360487937927,-0.142260655760765,0.470853209495544,-0.573529481887817,0.00151480454951525,8.36
"4","DW-15","Stable/Mixing",0.192470297217369,0.321441173553467,0.00836827326565981,1,0.55350935459137,0.00228202342987061,4.51
"5","DW-1524","Multi-Proc",0.46409547328949,0.0245817899703979,0.154698491096497,0.475998878479004,-0.32536256313324,0.1020323112607,14.3
"6","DW-1525","Mixing",0.287084609270096,0.150749683380127,0.153111785650253,0.457349538803101,0.816666603088379,1.26361846923828e-05,46
"7","DW-16","Stable",0.259416490793228,0.176360487937927,-0.259416490793228,0.176360443234444,0.785206735134125,1.47819519042969e-05,4.87
"8","DW-17","Leaching",0.45162233710289,0.0376933813095093,0.580657303333282,0.00715804100036621,-0.169967323541641,0.461028575897217,17.9
"9","DW-2","Dilution",0.0191389732062817,0.960482597351074,0.0956948697566986,0.655647158622742,-0.254273802042007,0.189563170075417,1.05
"10","DW-3","Stable",0.537834107875824,0.00448060035705566,0.386568248271942,0.0423430204391479,-0.627310574054718,0.000533949874807149,6.18
"11","DW-5","Stable",0.728039801120758,0.000106215476989746,0.158997192978859,0.417234778404236,0.311119645833969,0.0906896591186523,6.42
"12","DW-6","Stable",0.41004541516304,0.0305200815200806,0.527201235294342,0.00520241260528564,0.911764800548553,3.57627868652344e-07,9.35
"13","DW-7a","Mixing",0.476991593837738,0.0116087198257446,0.62762051820755,0.000852823257446289,-0.6029412150383,0.00084809010149911,4.26
"14","DW-8","Leaching",0.142260655760765,0.470853209495544,0.577410876750946,0.00217938423156738,-0.538749098777771,0.00299365445971489,12.8
"15","DW-9","Stable",0.225943386554718,0.24128794670105,0.158997192978859,0.417234778404236,-0.15498261153698,0.409625709056854,1.98
"16","GW-1","Leaching",0.12552410364151,0.528069972991943,0.393308848142624,0.0381594896316528,-0.391146600246429,0.0320460088551044,11.3
"17","GW-10","Multi-Proc",0.34309920668602,0.0714308023452759,0.443518489599228,0.0191013813018799,-0.379205763339996,0.0388219989836216,16.1
"18","GW-11","Multi-Proc",-0.460255056619644,0.014946042560041,0.543937802314758,0.0039219856262207,-0.411764740943909,0.0234762225300074,6.49
"19","GW-12","Mixing",0.192470297217369,0.321441173553467,-0.025104820728302,0.928178787231445,-0.37038055062294,0.043189525604248,28
"20","GW-13","Stable",0.543937802314758,0.0039219856262207,0.175733745098114,0.367394685745239,-0.523988842964172,0.00390254380181432,7.35
"21","GW-15","Stable",-0.192470297217369,0.321441113948822,-0.242679938673973,0.206981122493744,0.162967443466187,0.386206865310669,6.5
"22","GW-16","Dilution",0.292889565229416,0.125443577766418,-0.493728131055832,0.00895003881305456,-0.243544101715088,0.187074199318886,1.9
"23","GW-17","Dilution",0.661093592643738,0.000439167022705078,0.794986009597778,2.27689743041992e-05,-0.568269610404968,0.00172853039111942,3.82
"24","GW-18","Multi-Proc",0.610883951187134,0.0011749267578125,0.443518489599228,0.0191013813018799,-0.588235378265381,0.00113705126568675,15.2
"25","GW-19","Mixing",-0.292889565229416,0.125443622469902,-0.359835773706436,0.0583757944405079,0.191176488995552,0.303096532821655,9.94
"26","GW-20","Leaching",0.460255056619644,0.0149459838867188,0.577410876750946,0.00217938423156738,-0.346865862607956,0.0578978359699249,16.3
"27","GW-21","Leaching",0.326362669467926,0.0867875814437866,-0.276153028011322,0.149250730872154,-0.01470588427037,0.967142343521118,18.3
"28","GW-22","Leaching",0.493728131055832,0.00894999504089355,-0.225943386554718,0.241287887096405,0.0882353037595749,0.650463104248047,12.1
"29","GW-24","Dilution",0.0920510068535805,0.652218580245972,0.025104820728302,0.928178787231445,0.23529414832592,0.201612234115601,6.4
"30","GW-3","Leaching",0.242679938673973,0.206981182098389,-0.209206834435463,0.27941370010376,-0.258304357528687,0.160993158817291,36
"31","GW-4D","Leaching",-0.326362669467926,0.0867875814437866,0.661093592643738,0.000439167022705078,-0.705882430076599,9.10433955141343e-05,9.76
"32","GW-4S","Multi-Proc",-0.229667693376541,0.254452466964722,0.612447142601013,0.00179922580718994,0.433333307504654,0.0216673612594604,10.2
"33","GW-5","Dilution",0.644357085227966,0.000614404678344727,0.0418413691222668,0.856938362121582,-0.205882370471954,0.266051709651947,12.2
"34","GW-7","Multi-Proc",0.175733745098114,0.367394685745239,-0.175733745098114,0.367394626140594,-0.838235378265381,3.2434716104035e-06,5.53
"35","GW-8R","Multi-Proc",-0.0765558928251266,0.728715181350708,0.382779479026794,0.053314208984375,0.349999964237213,0.0649033784866333,1.48
"36","GW-9","Stable",-0.359835773706436,0.0583757944405079,0.426781952381134,0.0242332220077515,0.823529481887817,4.76837158203125e-06,9.38
