Location,Dec_LAT,Dec_LONG,Top_of_Screen_ft,Bottom_of_Screen_ft,Cap_Depth_ft,Hydrologic_Unit,Water_Source,N_Classification,CAFO_Proximity
DW-1,44.1316,-123.14045,39,50,50,WSHU,Mixed-River-Vprecip,Stable,No
DW-10,44.4464,-123.1136,49.5,58.5,60,WSHU,Valley_Precip,Stable/Leaching,Yes
DW-11,44.3119,-123.2833,27,29,29,WSHU,Valley_Precip,Leaching,No
DW-12a,44.3056,-123.276,25,36,38,MSHU,Valley_Precip,NA,No
DW-13,44.5156,-123.2359,22,36,58,USHU,Mixed-River-Vprecip,Stable/Leaching,No
DW-15,44.5853,-123.2257,32,32,32,USHU,Mixed-River-Vprecip,Stable/Mixing,No
DW-1524,44.317,-123.194,29,39,41,WSHU,Valley_Precip,Multi-Proc,No
DW-1525,44.3169,-123.1952,,,,WSHU,Valley_Precip,Mixing,No
DW-1544,44.25989,-123.21972,25,39,39,WSHU,Valley_Precip,Mixing,No
DW-16,44.6156,-123.2119,,,,,Valley_Precip,Stable,
DW-17,44.3622,-123.2786,19,35,37,MSHU,Valley_Precip,Leaching,No
DW-2,44.1621,-123.1405,20,29,30,USHU,River,Dilution,No
DW-3,44.1994,-123.1715,48,49,49,MSHU,River,Stable,No
DW-5,44.2212,-123.2214,35,37,37,WSHU,Valley_Precip,Stable,No
DW-6,44.2578,-123.2194,38,44,44,MSHU,Valley_Precip,Stable,No
DW-7,44.2332,-123.1524,18,21,21,WSHU,River,NA,No
DW-7a,44.23338,-123.15215,28,34,34,USHU,Mixed-River-Vprecip,Mixing,No
DW-8,44.3464,-123.218,23,30,30,WSHU,Valley_Precip,Leaching,No
DW-9,44.4204,-123.1587,30,36,39,WSHU,Valley_Precip,Stable,No
GW-1,44.1496,-123.0976,20,23,23,USHU,Valley_Precip,Leaching,No
GW-10,44.2618,-123.1313,14,17,17,MSHU,Valley_Precip,Multi-Proc,No
GW-11,44.3119,-123.1776,21,24,24,WSHU,Valley_Precip,Multi-Proc,No
GW-12,44.3734,-123.176,20,23,23,WSHU,Valley_Precip,Mixing,Yes
GW-13,44.4034,-123.2089,16,19,19,WSHU,Valley_Precip,Stable,No
GW-15,44.5271,-123.1943,17,20,20,WSHU,Valley_Precip,Stable,No
GW-16,44.295,-123.2094,24,27,27,USHU,River,Dilution,No
GW-17,44.335,-123.2461,31,34,34,WSHU,River,Dilution,No
GW-18,44.335,-123.2526,17,20,20,USHU,Valley_Precip,Multi-Proc,No
GW-19,44.3641,-123.2365,20,23,23,WSHU,Mixed-River-Vprecip,Mixing,No
GW-20,44.3617,-123.2791,20,23,23,USHU,Valley_Precip,Leaching,No
GW-21,44.391,-123.279,20,23,23,MSHU,Valley_Precip,Leaching,No
GW-22,44.4349,-123.2419,24.4,27.4,28,LSHU,Valley_Precip,Leaching,No
GW-23,44.4221,-123.2539,24,27,27,WSHU,Valley_Precip,Stable,No
GW-24,44.4561,-123.2264,24,27,27,WSHU,Mixed-River-Vprecip,Dilution,No
GW-25,44.4738,-123.2523,24,27,27,WSHU,Valley_Precip,NA,No
GW-27,44.1338,-123.06829,35,50,50,MSHU,Valley_Precip,Stable,No
GW-3,44.2807,-123.2438,20,23,23,MSHU,Valley_Precip,Leaching,Yes
GW-4D,44.1968,-123.0919,13,18,18,LSHU,Valley_Precip,Leaching,No
GW-4S,44.1967,-123.092,9,12,12,LSHU,Valley_Precip,Multi-Proc,No
GW-5,44.1913,-123.1612,18,21,21,USHU,River,Dilution,No
GW-6,44.2155,-123.2501,20,23,23,WSHU,Valley_Precip,Dilution,No
GW-7,44.2518,-123.2501,20,23,23,MSHU,Valley_Precip,Multi-Proc,No
GW-8,44.2146,-123.065,17,20,20,LSHU,Mixed-River-Vprecip,NA,No
GW-8R,44.2146,-123.0658,,,,,Valley_Precip,Multi-Proc,
GW-9,44.2178,-123.1104,17,20,20,WSHU,Valley_Precip,Stable,No
